,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
121,121,ENSMUSG00000042589,Cux2,Down,-22.3283351202242,1.14757897096625e-05,-110.306830090759
122,122,ENSMUSG00000110986,ENSMUSG00000110986,Down,-25.265356027341,4.72951330799591e-05,-109.277302228075
123,123,ENSMUSG00000027438,Napb,Down,-19.4380332090833,4.24467403880906e-06,-104.424140024492
124,124,ENSMUSG00000055202,Zfp811,Down,-24.4134657675025,5.56632075872486e-05,-103.865424403951
125,125,ENSMUSG00000061601,Pclo,Down,-22.9798935465939,3.25127585927178e-05,-103.132525472752
126,126,ENSMUSG00000026785,Pkn3,Down,-18.6894018230543,3.57656465642702e-06,-101.792460963665
127,127,ENSMUSG00000028278,Rragd,Down,-20.0277839189965,1.28928414444193e-05,-97.928880841999
128,128,ENSMUSG00000034883,Lrr1,Down,-24.4259551312671,0.00010253900557437,-97.4378438246365
129,129,ENSMUSG00000022756,Slc7a4,Down,-19.1706894076736,8.38008473951156e-06,-97.3248279271412
130,130,ENSMUSG00000026073,Il1r2,Down,-15.5900717572132,9.60429215028979e-07,-93.8137968037441
131,131,ENSMUSG00000015879,Fam184b,Down,-22.8260164240276,8.13366749798908e-05,-93.3518694699843
132,132,ENSMUSG00000035873,Pawr,Down,-19.6616551310703,1.86663571302787e-05,-92.9787958577935
133,133,ENSMUSG00000061911,Myt1l,Down,-20.1218120395953,4.2656296589298e-05,-87.9326577179919
134,134,ENSMUSG00000059498,Fcgr3,Down,-23.6591030728422,0.000198575754388798,-87.587745118067
135,135,ENSMUSG00000024749,Tmc1,Down,-23.656452202064,0.000243680907445189,-85.4749844054777
136,136,ENSMUSG00000041700,Lhfpl1,Down,-21.0972370060448,0.000107260617840633,-83.7467419218676
137,137,ENSMUSG00000103403,ENSMUSG00000103403,Down,-23.2170296812865,0.000293406526096161,-82.0148592136049
138,138,ENSMUSG00000076430,Hus1b,Down,-19.9001532743452,9.38419649995762e-05,-80.1499151756612
139,139,ENSMUSG00000030996,Art1,Down,-23.0442245750629,0.0003387191869049,-79.9671510028061
140,140,ENSMUSG00000049321,Zfp2,Down,-20.0901035122342,0.000161017719467852,-76.2043005778786
141,141,ENSMUSG00000082395,ENSMUSG00000082395,Down,-22.5137728935299,0.000532252094603441,-73.707449804344
142,142,ENSMUSG00000116581,ENSMUSG00000116581,Down,-22.5232652869677,0.000550450276884277,-73.4096710022386
143,143,ENSMUSG00000054474,Thnsl2,Down,-20.607958421572,0.000314442599596233,-72.1785216540489
144,144,ENSMUSG00000053158,Fes,Down,-22.301405893674,0.000634281012708319,-71.3136134982773
145,145,ENSMUSG00000056486,Chn1,Down,-20.1273502769362,0.000315459637657054,-70.4669844737455
146,146,ENSMUSG00000026836,Acvr1,Down,-18.1691625248092,0.000139653897889212,-70.0411574441574
147,147,ENSMUSG00000051969,Tlr11,Down,-22.0661971474207,0.00090252662102375,-67.1814194050241
148,148,ENSMUSG00000032101,Ddx25,Down,-21.8609379009916,0.000941822793112631,-66.1518714791354
149,149,ENSMUSG00000102808,ENSMUSG00000102808,Down,-18.4242086094573,0.000293406526096161,-65.0840738875688
150,150,ENSMUSG00000025330,Padi4,Down,-20.2835931800875,0.000618966164582288,-65.0765231996127
151,151,ENSMUSG00000104936,ENSMUSG00000104936,Down,-21.6934122221372,0.00103507812254702,-64.7554183977179
152,152,ENSMUSG00000098397,Mir7669,Down,-20.5237618045109,0.000702935287737908,-64.7131583946066
153,153,ENSMUSG00000055415,Atp10b,Down,-21.254780299129,0.00145320082840363,-60.3141451510889
154,154,ENSMUSG00000111358,ENSMUSG00000111358,Down,-20.3877932234671,0.00145344731140585,-57.852416467538
155,155,ENSMUSG00000102786,ENSMUSG00000102786,Down,-20.4582138403655,0.0020130144848024,-55.1584766682175
156,156,ENSMUSG00000085563,ENSMUSG00000085563,Down,-20.5359874690325,0.00264457707101206,-52.9344601973074
157,157,ENSMUSG00000089936,ENSMUSG00000089936,Down,-20.491016029116,0.0027249200338435,-52.5522071741302
158,158,ENSMUSG00000025265,Fgd1,Down,-19.148105950227,0.00769789713560585,-40.471970902166
159,159,ENSMUSG00000116173,ENSMUSG00000116173,Down,-18.9606390044864,0.00932904927788231,-38.4931804233902
160,160,ENSMUSG00000075225,Ccdc162,Down,-10.0946588837608,0.000371554301567918,-34.6244549250551
161,161,ENSMUSG00000026387,Sctr,Down,-18.1648566778778,0.0124225173284371,-34.6184092701799
162,162,ENSMUSG00000100281,4930422M22Rik,Down,-18.2774952806678,0.0146177561749977,-33.5413840975199
163,163,ENSMUSG00000091722,Siah3,Down,-16.3228879740162,0.0099756686706982,-32.6630452996586
164,164,ENSMUSG00000084860,ENSMUSG00000084860,Down,-9.99918568078758,0.000823439032950285,-30.8411738421203
165,165,ENSMUSG00000102919,ENSMUSG00000102919,Down,-9.77747488069886,0.00137728265630305,-27.9731299834113
166,166,ENSMUSG00000072568,Lratd2,Down,-6.71253543865312,9.78811761963361e-05,-26.9125738422124
167,167,ENSMUSG00000097908,4933404O12Rik,Down,-10.2039080728301,0.00308026857307093,-25.6262112125812
168,168,ENSMUSG00000034071,Zfp551,Down,-9.70907549022536,0.00598299545427126,-21.5840644259554
169,169,ENSMUSG00000028133,Rwdd3,Down,-9.93322296370573,0.0101970280674555,-19.7822756232311
170,170,ENSMUSG00000036641,Ccdc148,Down,-9.07657635104884,0.00852633633674047,-18.7815925186377
171,171,ENSMUSG00000008575,Nfib,Down,-15.3888306174247,0.0653568256339088,-18.2312868944118
172,172,ENSMUSG00000038349,Plcl1,Down,-8.94914417915865,0.0157176492926404,-16.1407874632901
173,173,ENSMUSG00000087088,Gm16638,Down,-8.17733929165966,0.0176844800638494,-14.3300323747639
174,174,ENSMUSG00000037855,Zfp365,Down,-9.38848588042205,0.0332127967218305,-13.8827029284893
175,175,ENSMUSG00000050272,Dscam,Down,-6.46544784445193,0.010852266199665,-12.7012401482661
176,176,ENSMUSG00000103105,ENSMUSG00000103105,Down,-7.06375994366703,0.0159486768193053,-12.6955215708143
177,177,ENSMUSG00000052572,Dlg2,Down,-6.49377423204982,0.0123025192900406,-12.4031473908494
178,178,ENSMUSG00000035954,Dock4,Down,-6.16082833761527,0.0100556957875267,-12.3067959793323
179,179,ENSMUSG00000097283,ENSMUSG00000097283,Down,-7.71460117460013,0.026199140598744,-12.2022846163324
180,180,ENSMUSG00000025912,Mybl1,Down,-7.81940793818195,0.0281706570661867,-12.121669825397
181,181,ENSMUSG00000042857,Gm9776,Down,-8.17009081138671,0.0360607353262894,-11.7891585328329
182,182,ENSMUSG00000058626,Capn11,Down,-8.07331395544928,0.0378230982705794,-11.482213443721
183,183,ENSMUSG00000053897,Slc39a8,Down,-7.60707044693513,0.0310845693272631,-11.4673174862624
184,184,ENSMUSG00000002289,Angptl4,Down,-7.67207636160452,0.0335851240689285,-11.3075130917378
185,185,ENSMUSG00000022322,Shcbp1,Down,-6.76566466614988,0.0227920190236245,-11.1106908928401
186,186,ENSMUSG00000057897,Camk2b,Down,-7.05920260865378,0.0280244925721232,-10.9591455103422
187,187,ENSMUSG00000034664,Itga2b,Down,-9.26130012461563,0.0665466373371445,-10.8993822572045
188,188,ENSMUSG00000038305,Spats2l,Down,-9.41371084595301,0.0737028353314073,-10.6611763130617
189,189,ENSMUSG00000024827,Gldc,Down,-7.3540189178375,0.0423577412102523,-10.0975622183016
190,190,ENSMUSG00000097403,9230116N13Rik,Down,-7.22495058371617,0.0409492889092771,-10.0264514383455
191,191,ENSMUSG00000028524,Sgip1,Down,-5.66775338404569,0.0171937366190282,-10.0014861252372
192,192,ENSMUSG00000095079,Igha,Down,-6.5955585735405,0.0352381880276185,-9.58325711494524
