NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR	FWER p-val	RANK AT MAX	LEADING EDGE
BENGSCH_EXHAUSTION_UP	BENGSCH_EXHAUSTION_UP	Details ...	30	0.862216	1.4541268	0	0.004825397	0.008	3	"tags=13%, list=2%, signal=11%"
SCOTT_TILS_UP	SCOTT_TILS_UP	Details ...	32	0.74988353	1.2699881	0.018	0.11944505	0.453	18	"tags=16%, list=11%, signal=14%"
PORETT_PREGNAIVE_UP	PORETT_PREGNAIVE_UP	Details ...	45	0.7094911	1.2013034	0.032	0.1384648	0.69	8	"tags=11%, list=5%, signal=8%"
