NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR	FWER p-val	RANK AT MAX	LEADING EDGE
SCOTT_TILS_DN	SCOTT_TILS_DN	Details ...	58	-0.6548984	-1.6667578	0	0.012668224	0.012	51	"tags=5%, list=11%, signal=5%"
PORETT_PREGNAIVE_DN	PORETT_PREGNAIVE_DN	Details ...	50	-0.6537165	-1.6318604	0	0.007710489	0.014	54	"tags=26%, list=11%, signal=26%"
SCHIETINGER_TILS_DN	SCHIETINGER_TILS_DN	Details ...	30	-0.58527374	-1.2986362	0.09383378	0.288253	0.483	201	"tags=87%, list=42%, signal=139%"
BENGSCH_EXHAUSTION_DN	BENGSCH_EXHAUSTION_DN	Details ...	19	-0.62563324	-1.2898673	0.1383812	0.23337975	0.509	157	"tags=68%, list=32%, signal=97%"
GSE46242_ZHENG_TH1_VS_ANERGIC_TH1_DN	GSE46242_ZHENG_TH1_VS_ANERGIC_TH1_DN	Details ...	4	-0.2991958	-0.4418958	0.97858673	0.99458724	0.999	93	"tags=25%, list=19%, signal=31%"
