,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
61,61,ENSMUSG00000029491,Pde6b,Up,33.3165007363748,4.89286859408889e-11,343.507663504314
62,62,ENSMUSG00000104744,Gm18980,Up,34.776473782099,1.58392371631295e-10,340.818684508786
63,63,ENSMUSG00000047108,Dnajb7,Up,34.6604744483736,1.60954283720306e-10,339.440336387609
64,64,ENSMUSG00000030361,Klrb1a,Up,34.609131169455,1.66085136569072e-10,338.465855246149
65,65,ENSMUSG00000045672,Col27a1,Up,23.9600170183371,1.16333168657047e-14,333.865979901545
66,66,ENSMUSG00000031209,Heph,Up,34.3318759475884,2.34190167779903e-10,330.630774164359
67,67,ENSMUSG00000072721,Klra14-ps,Up,31.6856659866455,3.98765167382437e-11,329.508200821416
68,68,ENSMUSG00000025665,Rps6ka6,Up,34.0450322132296,3.43589526557021e-10,322.200825890089
69,69,ENSMUSG00000090939,ENSMUSG00000090939,Up,33.8040713819652,4.80686024052809e-10,314.991019163325
70,70,ENSMUSG00000073102,Drc1,Up,20.3320674450009,1.24620149388863e-15,303.037504572619
71,71,ENSMUSG00000097561,ENSMUSG00000097561,Up,31.157005577002,2.10615794030429e-10,301.49104688184
72,72,ENSMUSG00000038775,Vill,Up,24.6529643758921,7.82516884978367e-13,298.461268100686
73,73,ENSMUSG00000024749,Tmc1,Up,33.1296491895853,1.22802200913056e-09,295.211474235161
74,74,ENSMUSG00000033170,Card10,Up,29.8826918871473,1.78446959301083e-10,291.311148373444
75,75,ENSMUSG00000030774,Pak1,Up,19.7405405859454,2.80667006656394e-15,287.2605690002
76,76,ENSMUSG00000022449,Adamts20,Up,23.9292390877064,1.35928020591072e-12,283.960886294371
77,77,ENSMUSG00000022658,Tagln3,Up,32.59802620387,2.58188485694174e-09,279.953906941038
78,78,ENSMUSG00000022286,Grhl2,Up,25.2691315677564,1.99204020290257e-11,270.397444203491
79,79,ENSMUSG00000023963,Cyp39a1,Up,23.887032507307,8.78529217470401e-12,264.100854832053
80,80,ENSMUSG00000061769,Klra6,Up,20.82355021049,9.9174846141287e-13,249.957535334424
81,81,ENSMUSG00000114005,ENSMUSG00000114005,Up,31.2609585321922,1.57015415966214e-08,243.962324327984
82,82,ENSMUSG00000113810,ENSMUSG00000113810,Up,31.2328451927768,1.61884505881624e-08,243.328685293252
83,83,ENSMUSG00000027419,Pcsk2,Up,30.7825306977365,2.83219929159227e-08,232.342730526913
84,84,ENSMUSG00000024124,Prss30,Up,23.5911370440057,1.78446959301083e-10,229.977983565812
