Network,Annotation
Geneid,R-MMU-1799339|SRP-dependent cotranslational protein targeting to membrane|-7.4;R-MMU-975956|Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)|-7.4;WP163|Cytoplasmic ribosomal proteins|-7.2
Geneid_MCODE_ALL,R-MMU-1799339|SRP-dependent cotranslational protein targeting to membrane|-12.4;R-MMU-975956|Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)|-12.3;WP163|Cytoplasmic ribosomal proteins|-12.2
Geneid_SUB2_MCODE_1,R-MMU-1799339|SRP-dependent cotranslational protein targeting to membrane|-14.3;R-MMU-975956|Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)|-14.2;WP163|Cytoplasmic ribosomal proteins|-14.1
