,values,Group,Cluster
127,-0.558719327956822,Naive,Cluster 1
128,-0.187954040328985,Naive,Cluster 1
129,-1.17417273663372,Naive,Cluster 1
130,-1.09155061526467,Naive,Cluster 1
131,-1.28384412907164,Naive,Cluster 1
132,-0.979754172888565,Naive,Cluster 1
133,-0.361059138743408,Naive,Cluster 1
134,-1.08744443870415,Naive,Cluster 1
135,-0.757422324711545,Naive,Cluster 1
136,-0.972532951262359,Naive,Cluster 1
137,-0.96708160684549,Naive,Cluster 1
138,-0.714097914006094,Naive,Cluster 1
139,-0.631346568552635,Naive,Cluster 1
140,-1.21763820739413,Naive,Cluster 1
141,-1.14739505765203,Naive,Cluster 1
142,-0.989374913258004,Naive,Cluster 1
143,-1.20805209206983,Naive,Cluster 1
144,-1.01608089561315,Naive,Cluster 1
145,-1.08107965242316,Naive,Cluster 1
146,-1.41828432032568,Naive,Cluster 1
147,-1.09518735581007,Naive,Cluster 1
148,-1.01162927979775,Naive,Cluster 1
149,-0.696095991368794,Naive,Cluster 1
150,-0.178526597859699,Naive,Cluster 1
151,0.0499352743096037,Naive,Cluster 1
152,-1.00392098324868,Naive,Cluster 1
153,-0.967581811568665,Naive,Cluster 1
154,-0.849074263209429,Naive,Cluster 1
155,-0.868024987425301,Naive,Cluster 1
156,0.0213340100196832,Naive,Cluster 1
157,-0.915042262479894,Naive,Cluster 1
158,-0.941484948550349,Naive,Cluster 1
159,0.189748668140819,Naive,Cluster 1
160,-1.14577046996608,Naive,Cluster 1
161,-0.922968051846119,Naive,Cluster 1
162,0.19548675900609,Naive,Cluster 1
163,-0.800172926420421,Naive,Cluster 1
164,-1.40464506419313,Naive,Cluster 1
165,-0.467176988668376,Naive,Cluster 1
166,-1.07570606164997,Naive,Cluster 1
167,-1.7235519522753,Naive,Cluster 1
168,-1.1374817190408,Naive,Cluster 1
169,-1.07799313346988,Naive,Cluster 1
170,-0.976751967680435,Naive,Cluster 1
171,-0.943383578984691,Naive,Cluster 1
172,-1.19882257657086,Naive,Cluster 1
173,-1.18520733658592,Naive,Cluster 1
174,-1.13308937979505,Naive,Cluster 1
175,-1.14874162733735,Naive,Cluster 1
176,-1.04392829168016,Naive,Cluster 1
177,-1.12865511461525,Naive,Cluster 1
178,-0.995676623872575,Naive,Cluster 1
179,-1.46665477932083,Naive,Cluster 1
180,-0.607951435443281,Naive,Cluster 1
181,-0.93637465919075,Naive,Cluster 1
182,-0.769251648441697,Naive,Cluster 1
183,-1.09915093693049,Naive,Cluster 1
184,-0.495820836853651,Naive,Cluster 1
185,-1.05652850695968,Naive,Cluster 1
186,-1.07941085506103,Naive,Cluster 1
187,-0.597426263436078,Naive,Cluster 1
188,-0.352953812768612,Naive,Cluster 1
189,-1.06064781510481,Naive,Cluster 1
190,-1.04442811669005,Naive,Cluster 1
191,-1.20405846175439,Naive,Cluster 1
192,-1.08623655064042,Naive,Cluster 1
193,-0.833950352231411,Naive,Cluster 1
194,-0.694061695171768,Naive,Cluster 1
195,-1.0756451946505,Naive,Cluster 1
196,-0.851691024501076,Naive,Cluster 1
197,-1.12085229508757,Naive,Cluster 1
198,-1.04381638243192,Naive,Cluster 1
199,-1.055476383925,Naive,Cluster 1
200,-1.26071783943076,Naive,Cluster 1
201,-0.839456777367131,Naive,Cluster 1
202,-1.17177820462217,Naive,Cluster 1
203,-1.11779361204317,Naive,Cluster 1
204,-0.929109678644306,Naive,Cluster 1
205,-0.876462502934783,Naive,Cluster 1
206,-0.941184217805604,Naive,Cluster 1
207,-0.515320826936316,Naive,Cluster 1
208,-1.07545429257361,Naive,Cluster 1
209,-1.01331009631211,Naive,Cluster 1
210,-1.1188133687288,Naive,Cluster 1
211,-1.19650856067443,Naive,Cluster 1
212,-1.07108058252535,Naive,Cluster 1
213,-1.160114233552,Naive,Cluster 1
214,-1.09832223293092,Naive,Cluster 1
215,-1.03771916698909,Naive,Cluster 1
216,-1.11134607623538,Naive,Cluster 1
217,-0.955826038546525,Naive,Cluster 1
218,-1.09069592358404,Naive,Cluster 1
219,-0.995900978266824,Naive,Cluster 1
220,-1.16471642777291,Naive,Cluster 1
221,-0.5754714003369,Naive,Cluster 1
222,-1.19716979056153,Naive,Cluster 1
223,-0.910967386610547,Naive,Cluster 1
224,-1.01448283343676,Naive,Cluster 1
225,-1.32847034697347,Naive,Cluster 1
226,-1.20340978255798,Naive,Cluster 1
227,-1.26854888497363,Naive,Cluster 1
228,-1.22130579923971,Naive,Cluster 1
229,-1.09685901885267,Naive,Cluster 1
230,-0.744713659975553,Naive,Cluster 1
231,-0.645428212453647,Naive,Cluster 1
232,-0.711754627668012,Naive,Cluster 1
233,-1.25075695187569,Naive,Cluster 1
234,-1.13454673126271,Naive,Cluster 1
235,-0.865283864894431,Naive,Cluster 1
236,-1.3073662147066,Naive,Cluster 1
237,-1.2337058248135,Naive,Cluster 1
238,-1.24019198712223,Naive,Cluster 1
239,-1.10176640599778,Naive,Cluster 1
240,-1.17207453002733,Naive,Cluster 1
241,-1.11609931867657,Naive,Cluster 1
242,-0.86249885446781,Naive,Cluster 1
243,-1.21618967249656,Naive,Cluster 1
244,-1.09958607584618,Naive,Cluster 1
245,-1.00519047005057,Naive,Cluster 1
246,-1.24656144573339,Naive,Cluster 1
247,-1.67315116867747,Naive,Cluster 1
248,-1.17120015368412,Naive,Cluster 1
249,-1.1211783701188,Naive,Cluster 1
250,-1.35325115820375,Naive,Cluster 1
251,-0.682664726064227,Naive,Cluster 1
252,-0.794094459512331,Naive,Cluster 1
253,-0.795930673809328,Naive,Cluster 1
254,-0.970973824310334,Naive,Cluster 1
255,-0.93899121509707,Naive,Cluster 1
256,-0.940201911646144,Naive,Cluster 1
257,-0.60916679986448,Naive,Cluster 1
258,-0.341051017081898,Naive,Cluster 1
259,-0.336416891268965,Naive,Cluster 1
260,-0.414437006031132,Naive,Cluster 1
261,-0.526377258772171,Naive,Cluster 1
262,-0.844394330895396,Naive,Cluster 1
263,0.364400374730792,Naive,Cluster 1
