"","gene","cluster4"
"ENSMUSG00000076282","ENSMUSG00000076282",1
"Gm26257","Gm26257",1
"ENSMUSG00000089672","ENSMUSG00000089672",1
"ENSMUSG00000089672_1","ENSMUSG00000089672_1",1
"Pla2g12b","Pla2g12b",1
"Gm17059","Gm17059",1
"Dnajb12","Dnajb12",1
"Tbata","Tbata",1
"Hkdc1_2","Hkdc1_2",1
"ENSMUSG00000097921_2","ENSMUSG00000097921_2",1
"Nrbf2","Nrbf2",1
"Egr2_1","Egr2_1",1
"Zfp365_1","Zfp365_1",1
"Zfp365_2","Zfp365_2",1
"ENSMUSG00000086838","ENSMUSG00000086838",1
"ENSMUSG00000086838_1","ENSMUSG00000086838_1",1
"Bcr_2","Bcr_2",1
"Specc1l","Specc1l",1
"Specc1l_1","Specc1l_1",1
"Adora2a","Adora2a",1
"Mir6909_1","Mir6909_1",1
"Gipc3","Gipc3",1
"Gipc3_2","Gipc3_2",1
"1190007I07Rik","1190007I07Rik",1
"1700028I16Rik","1700028I16Rik",1
"Txnrd1","Txnrd1",1
"Washc3_2","Washc3_2",1
"Washc3_3","Washc3_3",1
"Washc3_4","Washc3_4",1
"Washc3_5","Washc3_5",1
"Washc3_6","Washc3_6",1
"Cfap54_9","Cfap54_9",1
"Mir1931_1","Mir1931_1",1
"ENSMUSG00000097164_1","ENSMUSG00000097164_1",1
"Cep83","Cep83",1
"Cep83_1","Cep83_1",1
"ENSMUSG00000094523","ENSMUSG00000094523",1
"Atp2b1","Atp2b1",1
"Ptprq","Ptprq",1
"Otogl_1","Otogl_1",1
"ENSMUSG00000102180_2","ENSMUSG00000102180_2",1
"Tbc1d15_1","Tbc1d15_1",1
"Rab3ip","Rab3ip",1
"Slc35e3","Slc35e3",1
"Nup107","Nup107",1
"ENSMUSG00000102896","ENSMUSG00000102896",1
"Il22b_1","Il22b_1",1
"Il22b_2","Il22b_2",1
"Il22b_3","Il22b_3",1
"Il22b_4","Il22b_4",1
"ENSMUSG00000098162","ENSMUSG00000098162",1
"Tbc1d30_1","Tbc1d30_1",1
"Mir6412_2","Mir6412_2",1
"ENSMUSG00000087111","ENSMUSG00000087111",1
"ENSMUSG00000087111_1","ENSMUSG00000087111_1",1
"Pla2g3_1","Pla2g3_1",1
"Cabp7","Cabp7",1
"Ap1b1","Ap1b1",1
"ENSMUSG00000092885_1","ENSMUSG00000092885_1",1
"ENSMUSG00000087060_1","ENSMUSG00000087060_1",1
"Fbxo48","Fbxo48",1
"ENSMUSG00000088223","ENSMUSG00000088223",1
"ENSMUSG00000068314_1","ENSMUSG00000068314_1",1
"Kcnip1","Kcnip1",1
"ENSMUSG00000085533","ENSMUSG00000085533",1
"ENSMUSG00000085533_1","ENSMUSG00000085533_1",1
"ENSMUSG00000085533_2","ENSMUSG00000085533_2",1
"Gm12167_1","Gm12167_1",1
"Gm12167_2","Gm12167_2",1
"Gm12167_3","Gm12167_3",1
"Gm12167_4","Gm12167_4",1
"Gm26061","Gm26061",1
"ENSMUSG00000086039","ENSMUSG00000086039",1
"Anxa6","Anxa6",1
"Hand1","Hand1",1
"Hand1_1","Hand1_1",1
"Dhrs7b","Dhrs7b",1
"ENSMUSG00000085459","ENSMUSG00000085459",1
"Lrrc75a","Lrrc75a",1
"Gas7","Gas7",1
"Gas7_1","Gas7_1",1
"Gas7_2","Gas7_2",1
"ENSMUSG00000084993_2","ENSMUSG00000084993_2",1
"Tmem102","Tmem102",1
"Eif5a","Eif5a",1
"Camta2","Camta2",1
"Inca1","Inca1",1
"Mir6926","Mir6926",1
"Sarm1","Sarm1",1
"Lgals9","Lgals9",1
"ENSMUSG00000085941","ENSMUSG00000085941",1
"ENSMUSG00000085941_1","ENSMUSG00000085941_1",1
"Evi2a_1","Evi2a_1",1
"Ccl12","Ccl12",1
"Gas2l2","Gas2l2",1
"Gas2l2_1","Gas2l2_1",1
"Ccl5","Ccl5",1
"Ccl5_1","Ccl5_1",1
"Ccl5_2","Ccl5_2",1
"Ccl5_3","Ccl5_3",1
"Rnft1_2","Rnft1_2",1
"Rnft1_4","Rnft1_4",1
"Rnft1_5","Rnft1_5",1
"Rnft1_6","Rnft1_6",1
"Rnft1_7","Rnft1_7",1
"Rps6kb1","Rps6kb1",1
"Gm11494_2","Gm11494_2",1
"ENSMUSG00000081249","ENSMUSG00000081249",1
"Sp2","Sp2",1
"Sp6","Sp6",1
"Sp6_1","Sp6_1",1
"Sp6_2","Sp6_2",1
"Scrn2","Scrn2",1
"Srcin1","Srcin1",1
"ENSMUSG00000085145","ENSMUSG00000085145",1
"Cfap97d1","Cfap97d1",1
"Lsm12","Lsm12",1
"Plcd3_1","Plcd3_1",1
"Gm22743","Gm22743",1
"ENSMUSG00000081995","ENSMUSG00000081995",1
"ENSMUSG00000081995_2","ENSMUSG00000081995_2",1
"ENSMUSG00000086298_1","ENSMUSG00000086298_1",1
"ENSMUSG00000086078","ENSMUSG00000086078",1
"ENSMUSG00000084978_1","ENSMUSG00000084978_1",1
"E030025P04Rik","E030025P04Rik",1
"Wipi1","Wipi1",1
"Wipi1_1","Wipi1_1",1
"Kcnj16","Kcnj16",1
"2610035D17Rik_4","2610035D17Rik_4",1
"Cd300ld2","Cd300ld2",1
"Cd300e","Cd300e",1
"Rab37_1","Rab37_1",1
"Hid1_1","Hid1_1",1
"Sumo2","Sumo2",1
"Sumo2_1","Sumo2_1",1
"H3f3b","H3f3b",1
"H3f3b_1","H3f3b_1",1
"Mrpl38","Mrpl38",1
"Srp68","Srp68",1
"ENSMUSG00000097117","ENSMUSG00000097117",1
"ENSMUSG00000097117_1","ENSMUSG00000097117_1",1
"Exoc7","Exoc7",1
"ENSMUSG00000064588_1","ENSMUSG00000064588_1",1
"Septin9","Septin9",1
"Cyth1","Cyth1",1
"Gm11762_1","Gm11762_1",1
"ENSMUSG00000085501","ENSMUSG00000085501",1
"Adcy3","Adcy3",1
"Cyria_1","Cyria_1",1
"Lpin1_3","Lpin1_3",1
"Mir3066_1","Mir3066_1",1
"Gm40855;Itgb1bp1","Gm40855;Itgb1bp1",1
"Id2_3","Id2_3",1
"ENSMUSG00000102431_1","ENSMUSG00000102431_1",1
"Atxn7l1_1","Atxn7l1_1",1
"ENSMUSG00000079143_1","ENSMUSG00000079143_1",1
"ENSMUSG00000079143_2","ENSMUSG00000079143_2",1
"ENSMUSG00000079143_3","ENSMUSG00000079143_3",1
"Ifrd1_1","Ifrd1_1",1
"ENSMUSG00000097159_2","ENSMUSG00000097159_2",1
"Baz1a","Baz1a",1
"ENSMUSG00000052673_3","ENSMUSG00000052673_3",1
"ENSMUSG00000052673_4","ENSMUSG00000052673_4",1
"ENSMUSG00000052673_5","ENSMUSG00000052673_5",1
"ENSMUSG00000095776_4","ENSMUSG00000095776_4",1
"Vcpkmt","Vcpkmt",1
"Gm24449","Gm24449",1
"Gm24449_1","Gm24449_1",1
"Prkch_6","Prkch_6",1
"Prkch_8","Prkch_8",1
"Hif1a_1","Hif1a_1",1
"Zbtb25","Zbtb25",1
"Plekhg3","Plekhg3",1
"Fut8","Fut8",1
"Sipa1l1_2","Sipa1l1_2",1
"Galc_3","Galc_3",1
"Ttc7b","Ttc7b",1
"ENSMUSG00000097160_3","ENSMUSG00000097160_3",1
"Gm25203","Gm25203",1
"Asb2","Asb2",1
"ENSMUSG00000102694","ENSMUSG00000102694",1
"ENSMUSG00000102694_1","ENSMUSG00000102694_1",1
"ENSMUSG00000102694_2","ENSMUSG00000102694_2",1
"ENSMUSG00000091573","ENSMUSG00000091573",1
"ENSMUSG00000100975","ENSMUSG00000100975",1
"Vrk1","Vrk1",1
"ENSMUSG00000085120","ENSMUSG00000085120",1
"ENSMUSG00000079359","ENSMUSG00000079359",1
"4930465M20Rik","4930465M20Rik",1
"Bcl11b_1","Bcl11b_1",1
"Ppp2r5c_3","Ppp2r5c_3",1
"Ppp1r13b_1","Ppp1r13b_1",1
"Inf2_2","Inf2_2",1
"Ighv1-43","Ighv1-43",1
"Ncapg2_1","Ncapg2_1",1
"Gm5441","Gm5441",1
"Sp4_2","Sp4_2",1
"Klf6_1","Klf6_1",1
"ENSMUSG00000075053_1","ENSMUSG00000075053_1",1
"ENSMUSG00000097838","ENSMUSG00000097838",1
"Serpinb9c","Serpinb9c",1
"Serpinb9d","Serpinb9d",1
"Serpinb9d_1","Serpinb9d_1",1
"Serpinb9e","Serpinb9e",1
"Serpinb9e_1","Serpinb9e_1",1
"Eef1e1","Eef1e1",1
"Mir5124a","Mir5124a",1
"Nol7","Nol7",1
"Nol7_1","Nol7_1",1
"Nol7_2","Nol7_2",1
"Gm26064","Gm26064",1
"Atxn1","Atxn1",1
"Atxn1_1","Atxn1_1",1
"5033430I15Rik","5033430I15Rik",1
"5033430I15Rik_1","5033430I15Rik_1",1
"5033430I15Rik_2","5033430I15Rik_2",1
"5033430I15Rik_3","5033430I15Rik_3",1
"5033430I15Rik_5","5033430I15Rik_5",1
"5033430I15Rik_8","5033430I15Rik_8",1
"Bicd2_1","Bicd2_1",1
"Ror2_1","Ror2_1",1
"Cplx2","Cplx2",1
"Ctsq","Ctsq",1
"ENSMUSG00000089092","ENSMUSG00000089092",1
"ENSMUSG00000093106","ENSMUSG00000093106",1
"Iqgap2_1","Iqgap2_1",1
"Gm24032","Gm24032",1
"Sv2c","Sv2c",1
"Hmgcr_1","Hmgcr_1",1
"Pik3r1_4","Pik3r1_4",1
"Pik3r1_5","Pik3r1_5",1
"Apoo-ps","Apoo-ps",1
"Mir1904_3","Mir1904_3",1
"Il31ra_1","Il31ra_1",1
"Il31ra_2","Il31ra_2",1
"Gzmk","Gzmk",1
"Gzmk_1","Gzmk_1",1
"Gzmk_2","Gzmk_2",1
"Gzmk_3","Gzmk_3",1
"Cspg4b","Cspg4b",1
"Cspg4b_1","Cspg4b_1",1
"Cspg4b_2","Cspg4b_2",1
"Hspb3","Hspb3",1
"Arl15","Arl15",1
"Arl15_4","Arl15_4",1
"Fst","Fst",1
"Pelo","Pelo",1
"ENSMUSG00000096021_1","ENSMUSG00000096021_1",1
"ENSMUSG00000096021_2","ENSMUSG00000096021_2",1
"ENSMUSG00000096021_3","ENSMUSG00000096021_3",1
"Gm24912","Gm24912",1
"Gm24912_1","Gm24912_1",1
"Zmiz1","Zmiz1",1
"Mir3075","Mir3075",1
"Mir3075_1","Mir3075_1",1
"Mir3075_2","Mir3075_2",1
"Ppif","Ppif",1
"Asb14","Asb14",1
"Appl1_2","Appl1_2",1
"Il17rd_6","Il17rd_6",1
"ENSMUSG00000090305_1","ENSMUSG00000090305_1",1
"Atg14_1","Atg14_1",1
"Cebpe_1","Cebpe_1",1
"Cma2_1","Cma2_1",1
"ENSMUSG00000089170","ENSMUSG00000089170",1
"ENSMUSG00000089170_1","ENSMUSG00000089170_1",1
"Micu2","Micu2",1
"ENSMUSG00000097948","ENSMUSG00000097948",1
"Hmbox1","Hmbox1",1
"Ints9","Ints9",1
"Gm22319","Gm22319",1
"Gfra2_2","Gfra2_2",1
"ENSMUSG00000104288","ENSMUSG00000104288",1
"ENSMUSG00000096463_2","ENSMUSG00000096463_2",1
"Siah3_2","Siah3_2",1
"Siah3_3","Siah3_3",1
"Dgkh","Dgkh",1
"Vwa8_1","Vwa8_1",1
"ENSMUSG00000095037","ENSMUSG00000095037",1
"Acod1","Acod1",1
"Mycbp2_1","Mycbp2_1",1
"Clybl_2","Clybl_2",1
"Tmtc4_3","Tmtc4_3",1
"ENSMUSG00000098565","ENSMUSG00000098565",1
"Fyb","Fyb",1
"Otulin","Otulin",1
"Rpl7a-ps3_3","Rpl7a-ps3_3",1
"Atp6v1c1","Atp6v1c1",1
"Eif3h","Eif3h",1
"Eif3h_1","Eif3h_1",1
"ENSMUSG00000057262","ENSMUSG00000057262",1
"Med30_1","Med30_1",1
"Ext1_2","Ext1_2",1
"Fer1l6","Fer1l6",1
"Fer1l6_1","Fer1l6_1",1
"ENSMUSG00000084485","ENSMUSG00000084485",1
"ENSMUSG00000084485_3","ENSMUSG00000084485_3",1
"Trib1_2","Trib1_2",1
"Gm7713","Gm7713",1
"ENSMUSG00000098998_1","ENSMUSG00000098998_1",1
"Gsdmcl-ps_1","Gsdmcl-ps_1",1
"ENSMUSG00000093695_1","ENSMUSG00000093695_1",1
"Tg","Tg",1
"Tg_3","Tg_3",1
"Trappc9_3","Trappc9_3",1
"Nrbp2","Nrbp2",1
"Nrbp2_1","Nrbp2_1",1
"ENSMUSG00000088128","ENSMUSG00000088128",1
"ENSMUSG00000088128_1","ENSMUSG00000088128_1",1
"Csf2rb","Csf2rb",1
"ENSMUSG00000070235","ENSMUSG00000070235",1
"Mpst","Mpst",1
"Tmprss6","Tmprss6",1
"Elfn2","Elfn2",1
"Card10_1","Card10_1",1
"Cbx6","Cbx6",1
"Mir5113_1","Mir5113_1",1
"Arfgap3_1","Arfgap3_1",1
"Arhgap8","Arhgap8",1
"Zbed4_1","Zbed4_1",1
"Adamts20_2","Adamts20_2",1
"Scaf11","Scaf11",1
"Amigo2","Amigo2",1
"Gm25668","Gm25668",1
"1700120C14Rik","1700120C14Rik",1
"Fmnl3","Fmnl3",1
"Faim2","Faim2",1
"ENSMUSG00000098598","ENSMUSG00000098598",1
"Bin2","Bin2",1
"Eif4b","Eif4b",1
"ENSMUSG00000102297","ENSMUSG00000102297",1
"Smug1","Smug1",1
"ENSMUSG00000096921","ENSMUSG00000096921",1
"Mir1945","Mir1945",1
"Tnfrsf17","Tnfrsf17",1
"ENSMUSG00000085732","ENSMUSG00000085732",1
"ENSMUSG00000083192_1","ENSMUSG00000083192_1",1
"Spag6l","Spag6l",1
"Bcl6","Bcl6",1
"ENSMUSG00000095791","ENSMUSG00000095791",1
"Slc12a8_3","Slc12a8_3",1
"Slc12a8_5","Slc12a8_5",1
"ENSMUSG00000095851","ENSMUSG00000095851",1
"ENSMUSG00000098908","ENSMUSG00000098908",1
"ENSMUSG00000098908_1","ENSMUSG00000098908_1",1
"ENSMUSG00000098908_2","ENSMUSG00000098908_2",1
"Usf3_2","Usf3_2",1
"Ift57_1","Ift57_1",1
"Ift57_3","Ift57_3",1
"Ift57_6","Ift57_6",1
"Ift57_11","Ift57_11",1
"Ift57_12","Ift57_12",1
"ENSMUSG00000087066","ENSMUSG00000087066",1
"ENSMUSG00000087066_1","ENSMUSG00000087066_1",1
"ENSMUSG00000087066_2","ENSMUSG00000087066_2",1
"ENSMUSG00000087066_3","ENSMUSG00000087066_3",1
"Cblb_8","Cblb_8",1
"Cblb_9","Cblb_9",1
"Zpld1","Zpld1",1
"ENSMUSG00000094020","ENSMUSG00000094020",1
"ENSMUSG00000104456","ENSMUSG00000104456",1
"ENSMUSG00000086827","ENSMUSG00000086827",1
"Gabrr3","Gabrr3",1
"Gm15553","Gm15553",1
"Gm15553_2","Gm15553_2",1
"ENSMUSG00000092759_2","ENSMUSG00000092759_2",1
"Cxadr_2","Cxadr_2",1
"N6amt1_5","N6amt1_5",1
"Mrap","Mrap",1
"ENSMUSG00000052471","ENSMUSG00000052471",1
"ENSMUSG00000102958_1","ENSMUSG00000102958_1",1
"Olig1","Olig1",1
"Tmem50b","Tmem50b",1
"ENSMUSG00000097139_4","ENSMUSG00000097139_4",1
"ENSMUSG00000098983","ENSMUSG00000098983",1
"Brwd1","Brwd1",1
"Pcp4","Pcp4",1
"Dscam","Dscam",1
"Rps6ka2","Rps6ka2",1
"Slc22a2","Slc22a2",1
"Tekt4","Tekt4",1
"Bnip1_2","Bnip1_2",1
"Rnf8","Rnf8",1
"Ccdc167_1","Ccdc167_1",1
"Angptl4","Angptl4",1
"Skiv2l","Skiv2l",1
"H2-Q6_1","H2-Q6_1",1
"ENSMUSG00000092278","ENSMUSG00000092278",1
"H2-Q10","H2-Q10",1
"H2-Bl","H2-Bl",1
"Runx2","Runx2",1
"ENSMUSG00000096425","ENSMUSG00000096425",1
"n-R5s28","n-R5s28",1
"Dazl","Dazl",1
"Dazl_1","Dazl_1",1
"Gm25177_1","Gm25177_1",1
"Adgre1_3","Adgre1_3",1
"Gm25344_1","Gm25344_1",1
"Srd5a2_4","Srd5a2_4",1
"Cyp1b1","Cyp1b1",1
"Sos1","Sos1",1
"Sos1_1","Sos1_1",1
"ENSMUSG00000071040_2","ENSMUSG00000071040_2",1
"Kcng3_2","Kcng3_2",1
"ENSMUSG00000103015_1","ENSMUSG00000103015_1",1
"Plekhh2_2","Plekhh2_2",1
"4833418N02Rik","4833418N02Rik",1
"Foxn2","Foxn2",1
"Foxn2_1","Foxn2_1",1
"Foxn2_2","Foxn2_2",1
"Ston1","Ston1",1
"Gm7599","Gm7599",1
"Gm7599_1","Gm7599_1",1
"Taf4b","Taf4b",1
"Zfp397_1","Zfp397_1",1
"Gm25826_2","Gm25826_2",1
"ENSMUSG00000086991_1","ENSMUSG00000086991_1",1
"ENSMUSG00000086312_1","ENSMUSG00000086312_1",1
"ENSMUSG00000086312_2","ENSMUSG00000086312_2",1
"ENSMUSG00000085289","ENSMUSG00000085289",1
"Cd63-ps","Cd63-ps",1
"Tex43","Tex43",1
"Marchf3_1","Marchf3_1",1
"Marchf3_2","Marchf3_2",1
"Prrc1","Prrc1",1
"Afap1l1","Afap1l1",1
"Zfp532_1","Zfp532_1",1
"Afg3l2_1","Afg3l2_1",1
"Ldlrad4_2","Ldlrad4_2",1
"Mbd2_3","Mbd2_3",1
"Mbd2_4","Mbd2_4",1
"Mbd2_10","Mbd2_10",1
"Mro_2","Mro_2",1
"ENSMUSG00000094153_3","ENSMUSG00000094153_3",1
"ENSMUSG00000092569","ENSMUSG00000092569",1
"Gm10532_10","Gm10532_10",1
"Setbp1","Setbp1",1
"Setbp1_1","Setbp1_1",1
"Nfatc1_1","Nfatc1_1",1
"Gm17383","Gm17383",1
"Rpl21-ps8_4","Rpl21-ps8_4",1
"Mir6359_1","Mir6359_1",1
"Rin1","Rin1",1
"Ltbp3_2","Ltbp3_2",1
"Scyl1","Scyl1",1
"Frmd8","Frmd8",1
"Cd5_2","Cd5_2",1
"A430093F15Rik","A430093F15Rik",1
"Cd6","Cd6",1
"Gcnt1","Gcnt1",1
"ENSMUSG00000080783","ENSMUSG00000080783",1
"ENSMUSG00000080783_1","ENSMUSG00000080783_1",1
"ENSMUSG00000080783_2","ENSMUSG00000080783_2",1
"ENSMUSG00000080783_3","ENSMUSG00000080783_3",1
"ENSMUSG00000095097_1","ENSMUSG00000095097_1",1
"Jak2","Jak2",1
"Insl6","Insl6",1
"Pdcd1lg2_1","Pdcd1lg2_1",1
"Ric1","Ric1",1
"Atad1","Atad1",1
"Ifit3","Ifit3",1
"Htr7","Htr7",1
"Ide","Ide",1
"Sorbs1","Sorbs1",1
"ENSMUSG00000094388","ENSMUSG00000094388",1
"ENSMUSG00000094388_1","ENSMUSG00000094388_1",1
"Pik3ap1","Pik3ap1",1
"Pik3ap1_2","Pik3ap1_2",1
"Scd2_2","Scd2_2",1
"Dpcd","Dpcd",1
"Wbp1l_1","Wbp1l_1",1
"As3mt","As3mt",1
"Smndc1","Smndc1",1
"Smndc1_1","Smndc1_1",1
"Smndc1_2","Smndc1_2",1
"Smndc1_3","Smndc1_3",1
"4833407H14Rik_1","4833407H14Rik_1",1
"Dusp5_3","Dusp5_3",1
"ENSMUSG00000089807","ENSMUSG00000089807",1
"Plekhs1","Plekhs1",1
"ENSMUSG00000067063","ENSMUSG00000067063",1
"ENSMUSG00000067063_1","ENSMUSG00000067063_1",1
"Afap1l2","Afap1l2",1
"Dlg3","Dlg3",1
"Dlg3_1","Dlg3_1",1
"Fgf16","Fgf16",1
"Rbbp7","Rbbp7",1
"Txlng","Txlng",1
"ENSMUSG00000048538","ENSMUSG00000048538",2
"Mcmdc2","Mcmdc2",2
"ENSMUSG00000101476","ENSMUSG00000101476",2
"Tram2","Tram2",2
"ENSMUSG00000100775","ENSMUSG00000100775",2
"Uxs1","Uxs1",2
"ENSMUSG00000095757","ENSMUSG00000095757",2
"Ercc5_2","Ercc5_2",2
"ENSMUSG00000100160_1","ENSMUSG00000100160_1",2
"Gm17767_3","Gm17767_3",2
"ENSMUSG00000102405_1","ENSMUSG00000102405_1",2
"Mir7681","Mir7681",2
"Gm24251_1","Gm24251_1",2
"Gtf3c3","Gtf3c3",2
"Plcl1","Plcl1",2
"ENSMUSG00000089822","ENSMUSG00000089822",2
"ENSMUSG00000089822_1","ENSMUSG00000089822_1",2
"Abi2_1","Abi2_1",2
"Mir6899","Mir6899",2
"Klf7","Klf7",2
"Creb1","Creb1",2
"ENSMUSG00000103375","ENSMUSG00000103375",2
"Lancl1","Lancl1",2
"Ikzf2","Ikzf2",2
"Ikzf2_1","Ikzf2_1",2
"Spag16","Spag16",2
"Cxcr2","Cxcr2",2
"ENSMUSG00000090486_1","ENSMUSG00000090486_1",2
"ENSMUSG00000100562","ENSMUSG00000100562",2
"1700016L21Rik","1700016L21Rik",2
"ENSMUSG00000101784","ENSMUSG00000101784",2
"ENSMUSG00000096941_1","ENSMUSG00000096941_1",2
"ENSMUSG00000102565_2","ENSMUSG00000102565_2",2
"Hdac4","Hdac4",2
"ENSMUSG00000102501","ENSMUSG00000102501",2
"ENSMUSG00000104039_1","ENSMUSG00000104039_1",2
"2900009J06Rik","2900009J06Rik",2
"ENSMUSG00000100078_2","ENSMUSG00000100078_2",2
"Gm23623","Gm23623",2
"ENSMUSG00000076287","ENSMUSG00000076287",2
"ENSMUSG00000104366","ENSMUSG00000104366",2
"ENSMUSG00000104112","ENSMUSG00000104112",2
"ENSMUSG00000104112_1","ENSMUSG00000104112_1",2
"Gm25663","Gm25663",2
"Gm25663_1","Gm25663_1",2
"Hmcn1","Hmcn1",2
"Hmcn1_1","Hmcn1_1",2
"Hmcn1_2","Hmcn1_2",2
"ENSMUSG00000096851","ENSMUSG00000096851",2
"Gm2000","Gm2000",2
"ENSMUSG00000046057","ENSMUSG00000046057",2
"Tnn","Tnn",2
"Scyl3","Scyl3",2
"Ccdc181","Ccdc181",2
"ENSMUSG00000103636_4","ENSMUSG00000103636_4",2
"Gm17967","Gm17967",2
"Gm34068","Gm34068",2
"Gm34068_2","Gm34068_2",2
"1700112H15Rik","1700112H15Rik",2
"ENSMUSG00000104507","ENSMUSG00000104507",2
"ENSMUSG00000104487","ENSMUSG00000104487",2
"ENSMUSG00000086018_1","ENSMUSG00000086018_1",2
"Usp6nl","Usp6nl",2
"Usp6nl_1","Usp6nl_1",2
"Gm24340","Gm24340",2
"ENSMUSG00000079603_1","ENSMUSG00000079603_1",2
"ENSMUSG00000083900","ENSMUSG00000083900",2
"Prkcq_1","Prkcq_1",2
"ENSMUSG00000102992_2","ENSMUSG00000102992_2",2
"ENSMUSG00000102992_3","ENSMUSG00000102992_3",2
"ENSMUSG00000099246","ENSMUSG00000099246",2
"St8sia6","St8sia6",2
"Pip4k2a_3","Pip4k2a_3",2
"Pip4k2a_4","Pip4k2a_4",2
"Pip4k2a_6","Pip4k2a_6",2
"Pip4k2a_7","Pip4k2a_7",2
"Gm13332","Gm13332",2
"Msrb2","Msrb2",2
"Gm13378","Gm13378",2
"Gad2","Gad2",2
"Aif1l","Aif1l",2
"Aif1l_3","Aif1l_3",2
"Naif1","Naif1",2
"Nron","Nron",2
"Mir181b-2","Mir181b-2",2
"Kynu_3","Kynu_3",2
"ENSMUSG00000082114","ENSMUSG00000082114",2
"Lypd6b","Lypd6b",2
"Galnt5","Galnt5",2
"Ermn_2","Ermn_2",2
"Pkp4","Pkp4",2
"5330411J11Rik","5330411J11Rik",2
"5330411J11Rik_1","5330411J11Rik_1",2
"Dapl1","Dapl1",2
"ENSMUSG00000077464_2","ENSMUSG00000077464_2",2
"Slc4a10","Slc4a10",2
"Platr26_2","Platr26_2",2
"ENSMUSG00000087345","ENSMUSG00000087345",2
"ENSMUSG00000085439","ENSMUSG00000085439",2
"Gm14427","Gm14427",2
"Ttc30a1","Ttc30a1",2
"Pde11a_1","Pde11a_1",2
"ENSMUSG00000085335","ENSMUSG00000085335",2
"Fam171b","Fam171b",2
"Fam171b_1","Fam171b_1",2
"ENSMUSG00000093115","ENSMUSG00000093115",2
"ENSMUSG00000084198","ENSMUSG00000084198",2
"ENSMUSG00000084198_2","ENSMUSG00000084198_2",2
"ENSMUSG00000084198_3","ENSMUSG00000084198_3",2
"ENSMUSG00000084198_4","ENSMUSG00000084198_4",2
"Calcrl","Calcrl",2
"ENSMUSG00000082862_3","ENSMUSG00000082862_3",2
"ENSMUSG00000087465","ENSMUSG00000087465",2
"Cstf3","Cstf3",2
"Emc4_1","Emc4_1",2
"Emc4_2","Emc4_2",2
"Grem1","Grem1",2
"ENSMUSG00000092201","ENSMUSG00000092201",2
"Fam98b","Fam98b",2
"Duoxa2","Duoxa2",2
"Nphp1","Nphp1",2
"Nphp1_1","Nphp1_1",2
"ENSMUSG00000086250_1","ENSMUSG00000086250_1",2
"ENSMUSG00000080867","ENSMUSG00000080867",2
"ENSMUSG00000087594","ENSMUSG00000087594",2
"ENSMUSG00000086963","ENSMUSG00000086963",2
"Zfp120","Zfp120",2
"ENSMUSG00000083964_1","ENSMUSG00000083964_1",2
"ENSMUSG00000081092","ENSMUSG00000081092",2
"ENSMUSG00000098750","ENSMUSG00000098750",2
"Platr27","Platr27",2
"ENSMUSG00000085274","ENSMUSG00000085274",2
"ENSMUSG00000096972","ENSMUSG00000096972",2
"ENSMUSG00000096972_1","ENSMUSG00000096972_1",2
"ENSMUSG00000093160_6","ENSMUSG00000093160_6",2
"ENSMUSG00000093160_9","ENSMUSG00000093160_9",2
"Zbp1","Zbp1",2
"ENSMUSG00000081594","ENSMUSG00000081594",2
"ENSMUSG00000103461","ENSMUSG00000103461",2
"Zbtb10_1","Zbtb10_1",2
"ENSMUSG00000103485","ENSMUSG00000103485",2
"ENSMUSG00000089794","ENSMUSG00000089794",2
"ENSMUSG00000102795_1","ENSMUSG00000102795_1",2
"ENSMUSG00000102795_4","ENSMUSG00000102795_4",2
"ENSMUSG00000103698","ENSMUSG00000103698",2
"A930001A20Rik_1","A930001A20Rik_1",2
"Gm7132","Gm7132",2
"Dnajc5b","Dnajc5b",2
"Mir7007","Mir7007",2
"Cpb1","Cpb1",2
"ENSMUSG00000087775","ENSMUSG00000087775",2
"ENSMUSG00000093499","ENSMUSG00000093499",2
"ENSMUSG00000094007","ENSMUSG00000094007",2
"Gm26404","Gm26404",2
"ENSMUSG00000092986","ENSMUSG00000092986",2
"ENSMUSG00000092986_1","ENSMUSG00000092986_1",2
"Setd7","Setd7",2
"ENSMUSG00000103701","ENSMUSG00000103701",2
"ENSMUSG00000102423","ENSMUSG00000102423",2
"Gm30173_1","Gm30173_1",2
"Gm30173_2","Gm30173_2",2
"Gm30292_3","Gm30292_3",2
"Eif2a_1","Eif2a_1",2
"Gm5709","Gm5709",2
"ENSMUSG00000104337","ENSMUSG00000104337",2
"4931440P22Rik_1","4931440P22Rik_1",2
"Gm22073","Gm22073",2
"Il12a_1","Il12a_1",2
"ENSMUSG00000091272","ENSMUSG00000091272",2
"ENSMUSG00000093384","ENSMUSG00000093384",2
"Arl14","Arl14",2
"ENSMUSG00000102625","ENSMUSG00000102625",2
"Gm24150_2","Gm24150_2",2
"ENSMUSG00000088597","ENSMUSG00000088597",2
"Tmem131l_2","Tmem131l_2",2
"4632404H12Rik","4632404H12Rik",2
"Them4","Them4",2
"Bcl9","Bcl9",2
"Tent5c","Tent5c",2
"Tent5c_1","Tent5c_1",2
"Trim45_3","Trim45_3",2
"Ttf2","Ttf2",2
"ENSMUSG00000082415_1","ENSMUSG00000082415_1",2
"Gm25009","Gm25009",2
"Lrig2","Lrig2",2
"Lrig2_1","Lrig2_1",2
"Inka2_1","Inka2_1",2
"Kcna3_1","Kcna3_1",2
"Kcna3_2","Kcna3_2",2
