Gene
Cxcr3
Ccr3
Ccr2
Ccr5
Cx3cr1
Il18rap
Il18r1
Il2rb
Ccl5
Ccl6
Ccl9
Xcr1
Fcgr2b
Il4i1
Gata3
Lilrb4a
H2-Q10
Il18rap
Il18r1
Klrc1
Klrc2
Klrd1
Klrb1a
Klrb1c
Ceacam1
Klrk1
Tbx21
Klre1
Cd48
Fasl
Ifngr1
Itgb2
Prf1
Hcst
Ctla2a
Smad3
Rora
Tyro3
Nr1h3
Zfp36
Smpdl3b
Metrnl
Tafa3
