Cluster 1,Cluster 2,Cluster 3,Cluster 4
Camk2d,Spsb1,Mccc1os,Gm29036
ENSMUSG00000105586,Tle1,ENSMUSG00000104546,2900005J15Rik
Wls,ENSMUSG00000084910,Gucy1a1,Actr3b
ENSMUSG00000103454,Trnp1,Map9,Mblac1
Cd160,Aunip,ENSMUSG00000104964,Pvrig
Slc9b2,Pik3r3,Il21,Klrg1
Pex2,ENSMUSG00000054351,Cetn4,Kcnj8
Slc22a15,Fggy,Fam160a1,Zyx
H2az1,Alpl,Glt28d2,Gimap4
Adh4,ENSMUSG00000083836,Spry1,Tmem176a
Syt11,Pde4b,ENSMUSG00000106062,Osbpl3
ENSMUSG00000104235,Padi4,ENSMUSG00000106441,Snx10
Rap1a,ENSMUSG00000087049,Sh3d19,Arl6ip5
Dram2,Rps20,Hmgb1-ps5,Klrb1a
Csf1,ENSMUSG00000107136,ENSMUSG00000104597,Klrb1c
Gstm4,Gabrb1,Gm2011,ENSMUSG00000108095
S100a11,Gm15708,Dclk2,ENSMUSG00000085786
Usp45,Txk,Mgarp,Klre1
Tox,Zfp326,Nudt17,Klrd1
Lrp8,Brdt,Sh2d2a,ENSMUSG00000107583
Tnfsf8,Rpl21,Gja5,Klrk1
Tnc,Vps37b,Cyp2u1,Klrc2
ENSMUSG00000059027,Afap1,ENSMUSG00000106197,Klrc1
Ttc39b,ENSMUSG00000105890,Stmn2,Emp1
Selenon,Tpst2,Zfp704,ENSMUSG00000108219
Ccdc17,ENSMUSG00000105031,Vangl1,E230016M11Rik
Mllt3,Gm15682,Ralyl,ENSMUSG00000108053
Id3,Slc4a4,ENSMUSG00000106553,Ceacam1
C1qb,ENSMUSG00000104342,A930001A20Rik,Nkg7
C1qc,Rplp0,Phtf1os,ENSMUSG00000082922
Hivep3,Drc1,ENSMUSG00000105846,Gdpd3
Clspn,Rhoh,Fdps,Chsy1
Txn1,ENSMUSG00000107266,ENSMUSG00000106251,Ltbp4
ENSMUSG00000086952,Cux2,Pld1,Lrrk1
E130308A19Rik,Gpr146,Mlf1,Gvin2
Gm12543,Plac8,ENSMUSG00000103703,AI467606
Nsmaf,ENSMUSG00000104936,4933431E20Rik,Il4i1
ENSMUSG00000086052,ENSMUSG00000105985,Gstm5,Slco3a1
Olfr156,ENSMUSG00000106049,ENSMUSG00000090005,Zfp36
Ptpn13,Gigyf1,Slc39a1,Myadm
Spp1,Trbv12-2,Slc25a24,Lrfn1
Nsd2,Trbv13-2,Marcksl1,Ppm1n
ENSMUSG00000106547,Trbv23,Akna,Ech1
ENSMUSG00000090086,Trbv30,Echdc2,Sytl2
Tnip2,Eif2ak3,Tlr4,Itgax
Abcb1a,ENSMUSG00000105776,ENSMUSG00002075479,Dkkl1
Abcb1b,Thnsl2,Atpif1,Hcst
ENSMUSG00000106294,St8sia1,Cdkn2c,ENSMUSG00000089987
Ssh1,5430402O13Rik,ENSMUSG00000083995,Emp3
Cd38,Dyrk4,Acot7,Zfp128
Unc119b,Tspan9,Pdzk1ip1,Inppl1
Art3,Tet3,Ski,Ifitm3
Cxcl10,Gm10069,E2f2,Ifitm10
Arap2,ENSMUSG00000106874,Luzp1,Ctsd
ENSMUSG00000105694,Foxp1,Kif2c,Lrrc27
ENSMUSG00000106798,ENSMUSG00000108269,Tnfrsf4,Stox1
A930011G23Rik,Klra6,ENSMUSG00000086683,Gnptab
Rph3a,Klra13-ps,Ror1,Marchf9
Ptpn11,ENSMUSG00000072940,Cap1,Prdm1
Rbm47,Camk1,Mfsd2a,Ddit3
Ppp1cb,Cand2,Dhrs3,Fgd6
Hip1,Rpl32,Tnfrsf1b,Lilrb4a
ENSMUSG00000106758,Plxna4,Sh3d21,Atp2b1
ENSMUSG00000105228,Trbv1,5730409E04Rik,ENSMUSG00000112082
ENSMUSG00000106757,Mical3,Tmem51,ENSMUSG00000111947
ENSMUSG00000108090,Gng11,Ptpn3,Atxn7l3b
Igkv1-117,Klf13,D630039A03Rik,Adamts14
ENSMUSG00000076490,Cyp2s1,Rragd,Prf1
Igkv4-55,Fam189a1,Penk,Pald1
Smyd1,Bbc3,Spaca1,Ifngr1
ENSMUSG00000108132,Cdipt,Car9,Itgb2
Ezh2,Igf1r,Olfr157,Gzmm
Lrmp,Rps16,Olfr155,Gna15
Gimap7,ENSMUSG00000108465,ENSMUSG00000105929,Slc41a2
ENSMUSG00000044867,Rps9,Cldn12,Aldh1l2
ENSMUSG00000107761,ENSMUSG00000108353,ENSMUSG00000118625,Pla2g15
4930417O13Rik,Igsf23,ENSMUSG00000106739,Cdh1
Mdfic,Pak1,Ptcd1,ENSMUSG00000110580
2310001H17Rik,Spon1,Tgfbr3,ENSMUSG00000109629
Ybx3,Rras2,Usp46,Tmem231
Hebp1,Fes,ENSMUSG00000106993,Cpne2
Gprin3,Pde3b,Gfi1,Adgrg3
Itpr1,Irgc1,ENSMUSG00000106678,ENSMUSG00000083718
Ccser1,Rpl28,Chic2,Lgals3
Tnip3,Plaur,Rasl11a,Phf11b
Atp2b2,Ssc5d,ENSMUSG00000106831,Phf11d
ENSMUSG00000107994,Rps19,Rgs12,ENSMUSG00000114686
Zfp239,ENSMUSG00000083774,Hgfac,Dock5
ENSMUSG00000107881,Rps17,2210417A02Rik,ccdc198
Anxa4,Rps3,Igfbp7,Tlr11
Klk1b27,Odad1,Pitpnm2os2,Rnase6
ENSMUSG00000109119,Rps5,Pxmp2,ENSMUSG00000115087
Pglyrp1,Rnf225,Miat,Ppp1r3e
Itgal,ENSMUSG00000109555,Wfs1,Cma1
ENSMUSG00000097415,ENSMUSG00000109317,2900026A02Rik,ENSMUSG00000114907
Abhd2,ENSMUSG00000108830,ENSMUSG00000104576,Fli1
ENSMUSG00000097685,ENSMUSG00000110301,Ppbp,Gpr62
Prc1,Gramd1a,Areg,Me1
Capns1,Otoa,Vsig10,ENSMUSG00000102617
ENSMUSG00000109108,Scart1,Cxcl13,Mthfsl
ENSMUSG00000108940,Il4ra,Cenpa,9330159M07Rik
Pou2f2,Tnnt3,Dpysl5,Mthfs
Cd22,Rplp2,ENSMUSG00000106940,Amt
Cyfip1,Gm15501,Slc30a3,Nptn
Srgn,ENSMUSG00000085354,Pheta1,Trappc4
Ascl4,Cpm,Slc29a4,Pxylp1
Ifng,Gm10275,Rnf216,S1pr5
Fyn,ENSMUSG00000111664,Rilpl2,ENSMUSG00000104392
ENSMUSG00000110647,ENSMUSG00000111358,Zbed5,Smad3
Plxnc1,Sesn1,Hpse,Dennd4a
Nudt4,Mettl1,Trip6,Nbeal2
Eea1,Bend3,Gm18980,Rasl12
ENSMUSG00000112290,Bicc1,Igkv1-110,Ccrl2
ENSMUSG00000112734,ENSMUSG00000111968,Trbv31,Dapk2
Nab2,Gm17849,Ephb6,Fbxl2
Cep290,Gm8942,Igkv8-27,Rora
