Naive,NPP5,SUB,SPP7
-1.087444439,-1.071947472,0.71010108,0.951578102
-1.171200154,-0.834002482,1.189700263,0.193833453
-0.954992953,-1.137907855,-0.189997933,1.244349338
-1.312004604,-0.591403617,0.853212096,0.630648232
-1.113473105,-0.946713523,-0.057852097,1.135472177
-1.159620531,-1.093941316,0.402459773,1.078446722
-0.768316812,-1.084023632,0.270514886,0.835831657
-0.594650962,-1.025840531,0.455705288,0.769898284
1.184615677,0.71740648,0.259075821,-1.551643761
0.948898153,0.969897203,-0.098114045,-1.314460534
0.693966134,1.061834268,0.151088346,-1.173622964
1.166782307,0.741864668,-0.039259143,-1.271717497
0.502887365,1.181798103,0.068860584,-0.91064276
1.290950491,1.032268856,0.098345954,-1.382478286
0.913213881,1.050082206,0.074365223,-1.534262723
1.188294916,0.735206839,0.109904686,-1.180171942
1.454748324,0.693234274,0.128799098,-1.395290424
1.121165669,0.978115253,0.273169153,-1.590820048
1.186196035,1.013196517,0.129505656,-1.351587052
1.324993186,0.828358295,-0.040675102,-1.628242629
1.195336308,0.788814703,-0.054314543,-1.511728061
1.629535432,0.612718725,-0.082073319,-1.526976652
1.216290868,0.762015108,0.019348991,-1.653248216
1.250991927,0.79807069,0.220885027,-1.403190082
1.155643786,0.95919731,0.212440853,-1.440024344
-0.739634973,-0.729368132,-0.62832435,0.988986068
-0.785603002,-0.743694742,-0.59293879,1.406193325
-0.475503978,-0.506373004,-0.548606735,0.69319317
-0.063292064,-0.917856948,-0.19677326,0.60719785
-0.180345204,-0.15609164,0.855324039,-1.206015852
-0.186951721,0.674185697,1.284267137,-1.274896949
-0.020633107,-0.109772918,1.435787267,-1.278007757
1.242312364,0.602503475,0.659802414,-1.65579011
1.322232783,0.66744264,0.615727722,-1.370832927
