Naive,NPP5,SUB,SPP7
-1.128655115,-1.087066933,0.35173864,1.063120271
-0.839456777,-0.812689161,-0.774941404,1.420894222
-1.171778205,-0.685054488,-0.179431858,1.312973888
-1.222049886,-1.118157962,0.440832462,0.962781399
-1.012193748,-1.096520572,-0.255989148,1.321011287
-1.240074956,-1.151284594,0.4081398,0.970719469
-1.265689843,-0.953530596,0.286148373,1.020489081
-1.162306883,-0.881457393,0.457418733,1.366416109
-1.084089722,-0.846556108,-0.621310651,1.643425628
-1.079128444,-1.129146024,0.338727256,1.065502638
-0.985516484,-1.106944783,0.002582507,1.1998096
-1.127035292,-1.11480231,0.006278049,1.233881161
-1.166283256,-1.039433578,-0.134972405,1.333478693
-1.281925925,-0.871758599,1.263909878,-0.095538985
-1.177861534,-0.505713809,1.045721302,0.533985155
-1.200144318,-0.974462866,-0.146883745,1.345773473
-0.967281539,-0.939469162,-0.628706537,1.476657194
0.871060619,0.95940357,0.394936244,-1.377031015
0.862473899,1.081194962,-0.043763232,-1.23878426
0.983805331,1.120597967,-0.056692866,-0.932417621
0.68866444,1.157955512,-0.073502841,-1.046854906
1.516096634,0.65010057,-0.140631958,-1.206741258
0.899725443,0.813682043,-0.489710874,-1.142754292
0.792434169,1.278234983,0.129934726,-1.368431343
0.563764259,1.135948226,0.631384675,-1.545407903
1.303965227,0.755701375,0.281725811,-1.547971582
1.365751092,0.661414567,0.056835488,-1.53291366
0.391220487,1.176155158,0.029826651,-1.155464656
0.584820241,1.044257433,0.273784848,-1.170604473
0.253226208,1.060024003,0.069230955,-0.843273841
0.962675667,1.072535922,-0.139510329,-1.200753869
0.458598077,1.233464158,-0.265829731,-1.090597937
0.8682577,0.942260412,0.16305627,-1.173021065
-0.755690017,-0.479822856,-0.645678715,0.868308405
-0.737526348,-0.517274733,-0.577255896,0.820745295
1.238609357,0.677472323,0.547119668,-1.377802362
1.305545948,0.625972758,0.55954987,-1.759087426
