_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-9.969396051,GO:0001817,M1,1,0,GO Biological Processes,19,regulation of cytokine production,19_GO:0032501 multicellular organismal process,-9.969396051,4.67,8.797172275,20504,776,130,24,18.46153846,3.402855638,15251|15442|16153|16410|16768|16963|17470|17951|18987|19122|19247|20361|20371|22163|22164|22402|30925|54698|58206|60505|66889|229521|320910|100043314,Hif1a|Hpse|Il10|Itgav|Lag3|Xcl1|Cd200|Naip5|Pou2f2|Prnp|Ptpn11|Sema7a|Foxp3|Tnfrsf4|Tnfsf4|Ccn4|Slamf6|Crtam|Zbtb32|Il21|Rnf128|Syt11|Itgb8|Tigit,-6.164711536,0,3,1,1,-9.969396051,12.78835759,
1,-8.324317858,GO:0050863,M1,1,0,GO Biological Processes,19,regulation of T cell activation,19_GO:0002376 immune system process,-8.324317858,6.917678812,8.815356265,20504,342,130,15,11.53846154,2.802073489,12367|12458|12477|16768|16963|19122|20371|22164|22329|54167|54698|60505|240754|252838|100043314,Casp3|Ccr6|Ctla4|Lag3|Xcl1|Prnp|Foxp3|Tnfsf4|Vcam1|Icos|Crtam|Il21|Lax1|Tox|Tigit,-5.022070818,0,2,0,0,-10.03817488,29.57307692,
1,-6.26688355,GO:0002521,M1,1,0,GO Biological Processes,19,leukocyte differentiation,19_GO:0002376 immune system process,-6.26688355,4.23,6.605754791,20504,633,130,17,13.07692308,2.956981817,12458|12477|16153|16768|16878|17068|18018|18750|18987|20371|22164|22402|30925|54698|60505|252838|320910,Ccr6|Ctla4|Il10|Lag3|Lif|Ly6d|Nfatc1|Prkca|Pou2f2|Foxp3|Tnfsf4|Ccn4|Slamf6|Crtam|Il21|Tox|Itgb8,-3.447475778,0,5,0,0,-6.943001597,67.5956044,
1,-5.395299145,GO:0071634,M1,1,0,GO Biological Processes,19,regulation of transforming growth factor beta production,19_GO:0032501 multicellular organismal process,-5.395299145,20.75303644,9.735346407,20504,38,130,5,3.846153846,1.686650037,15251|16410|17470|20371|320910,Hif1a|Itgav|Cd200|Foxp3|Itgb8,-2.794734613,0,8,1,1,-5.395299145,20.75303644,
1,-5.282130626,GO:0032660,M1,1,0,GO Biological Processes,19,regulation of interleukin-17 production,19_GO:0032501 multicellular organismal process,-5.282130626,19.71538462,9.464021534,20504,40,130,5,3.846153846,1.686650037,19122|20371|22164|30925|60505,Prnp|Foxp3|Tnfsf4|Slamf6|Il21,-2.7163282,0,5,0,0,-6.943001597,67.5956044,
1,-4.846346224,GO:0032649,M1,1,0,GO Biological Processes,19,regulation of interferon-gamma production,19_GO:0032501 multicellular organismal process,-4.846346224,8.903722084,7.051518421,20504,124,130,7,5.384615385,1.97964149,16153|19122|20371|22164|30925|54698|60505,Il10|Prnp|Foxp3|Tnfsf4|Slamf6|Crtam|Il21,-2.397049367,0,5,0,0,-6.943001597,67.5956044,
1,-3.892754371,GO:0032635,M1,1,0,GO Biological Processes,19,interleukin-6 production,19_GO:0032501 multicellular organismal process,-3.892754371,6.308923077,5.633907084,20504,175,130,7,5.384615385,1.97964149,16153|17470|18987|19247|20371|22164|229521,Il10|Cd200|Pou2f2|Ptpn11|Foxp3|Tnfsf4|Syt11,-1.721538311,0,3,0,0,-9.969396051,12.78835759,
1,-3.185969078,GO:0032703,M1,1,0,GO Biological Processes,19,negative regulation of interleukin-2 production,19_GO:0048519 negative regulation of biological process,-3.185969078,17.52478632,6.863202303,20504,27,130,3,2.307692308,1.316883813,16768|19122|20371,Lag3|Prnp|Foxp3,-1.242619802,0,5,0,0,-6.943001597,67.5956044,
1,-3.136446267,GO:0032653,M1,1,0,GO Biological Processes,19,regulation of interleukin-10 production,19_GO:0032501 multicellular organismal process,-3.136446267,9.857692308,5.669077085,20504,64,130,4,3.076923077,1.514607977,20371|22164|60505|100043314,Foxp3|Tnfsf4|Il21|Tigit,-1.208748936,0,5,0,0,-6.943001597,67.5956044,
