genename,change
Tnfsf8,Up
Trgv2,Up
Trav16,Up
Msi2,Up
Itpkb,Up
Ly75,Up
Pcdhga12,Up
Clspn,Up
Nab2,Up
ENSMUSG00000106831,Up
Med7,Up
Cd68,Up
Gdi2,Up
Smyd1,Up
Cdkn2c,Up
ENSMUSG00000104388,Up
Igf1r,Up
Id3,Up
Nr4a2,Up
Ikzf2,Up
Ptprs,Up
Inpp4b,Up
Lrmp,Up
Iigp1,Up
Timp2,Up
ENSMUSG00000084978,Up
Trim8,Up
Hspa4l,Up
Nktr,Up
Glrx,Up
Diaph3,Up
ENSMUSG00000086052,Up
Scd2,Up
Stk39,Up
Irf8,Up
ENSMUSG00000104235,Up
ENSMUSG00000076490,Up
Sugp2,Up
Cbx5,Up
Usp45,Up
Rnf170,Up
ENSMUSG00000107994,Up
Rtn3,Up
Heg1,Up
Batf,Up
Myb,Up
Rap1a,Up
Fkbp5,Up
Wdr26,Up
Npepps,Up
Camk2d,Up
Mrps6,Up
ENSMUSG00000098915,Up
ENSMUSG00000104291,Up
ENSMUSG00000083899,Up
Ybx3,Up
Smurf2,Up
Tlk1,Up
Cyld,Up
Rel,Up
Arfgef1,Up
Tut7,Up
Calm3,Up
Erbin,Up
Ubr5,Up
Thoc7,Up
Rapgef1,Up
