,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
170,170,ENSMUSG00000076441,Ass1,Down,-1.69340107482345,0.00819345402510407,-3.53333718903605
171,171,ENSMUSG00000045092,S1pr1,Down,-1.23429361103891,0.00176258019021607,-3.39906083731522
172,172,ENSMUSG00000044037,Als2cl,Down,-1.78850438174013,0.0174857193612662,-3.14296825345548
173,173,ENSMUSG00000025959,Klf7,Down,-1.30188816002354,0.0110328549669282,-2.54820143652065
174,174,ENSMUSG00000028525,Pde4b,Down,-1.28358533845866,0.0140243238910728,-2.37863518096279
175,175,ENSMUSG00000021242,Npc2,Down,-0.988597178868946,0.00427010921579611,-2.34254133652748
176,176,ENSMUSG00000076617,Ighm,Down,-1.52923867989766,0.0389922791287361,-2.15472999391097
177,177,ENSMUSG00000034614,Pik3ip1,Down,-1.26377633362539,0.0247886630246973,-2.02930492527535
178,178,ENSMUSG00000029714,Gigyf1,Down,-1.38581030052798,0.0576796032569873,-1.71698810801777
179,179,ENSMUSG00000037926,Ssh2,Down,-1.10570578249676,0.052765241588629,-1.41270728079864
180,180,ENSMUSG00000021728,Emb,Down,-0.965743346301623,0.0405511078755241,-1.34431210752079
181,181,ENSMUSG00000038393,Txnip,Down,-1.01136974044739,0.0491083340503225,-1.32372602425784
182,182,ENSMUSG00000055148,Klf2,Down,-0.954013872757068,0.0426568498171602,-1.30700970979875
183,183,ENSMUSG00000034028,Cd226,Down,-1.00725561325804,0.0563639042533461,-1.25806118472125
184,184,ENSMUSG00000032562,Gnai2,Down,-0.918856288835282,0.0473884179745235,-1.21686691799196
