,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
1,1,ENSMUSG00000060470,Adgrg3,Down,-24.5119884151665,4.85815736838954e-24,-571.460938581323
2,2,ENSMUSG00000044320,1700001O22Rik,Down,-20.8814290864813,2.40829085707802e-27,-555.82795723738
3,3,ENSMUSG00000026656,Fcgr2b,Down,-22.127858863745,2.64209821190921e-22,-477.476068030962
4,4,ENSMUSG00000076760,ENSMUSG00000076760,Down,-24.217028222903,3.69162008391732e-19,-446.387226136187
5,5,ENSMUSG00000030346,Rad51ap1,Down,-23.4761707471852,1.00224521729381e-17,-399.072037088436
6,6,ENSMUSG00000039055,Eme1,Down,-24.5377717889781,4.08198487925108e-16,-377.61492582313
7,7,ENSMUSG00000085379,ENSMUSG00000085379,Down,-22.7183429187536,3.57337319598223e-17,-373.646805425024
8,8,ENSMUSG00000074569,Gcnt7,Down,-22.7611266929625,1.46693576845753e-16,-360.390322999186
9,9,ENSMUSG00000032607,Amt,Down,-21.7271243857552,1.05836796483764e-15,-325.371581446115
10,10,ENSMUSG00000080783,ENSMUSG00000080783,Down,-21.7564692745489,2.86051302485418e-15,-316.416430788524
11,11,ENSMUSG00000000617,Grm6,Down,-24.3251889134108,9.86714795510432e-14,-316.368745319506
12,12,ENSMUSG00000036223,Ska1,Down,-22.6317079852879,2.07725943732874e-14,-309.658554062112
13,13,ENSMUSG00000060397,Zfp128,Down,-22.6573611172983,2.53068209814632e-14,-308.066755883112
14,14,ENSMUSG00000102620,ENSMUSG00000102620,Down,-27.1097583135462,1.32187140887192e-11,-294.921931277144
15,15,ENSMUSG00000028678,Kif2c,Down,-22.7769953013808,3.73301918159633e-12,-260.294130639507
16,16,ENSMUSG00000046295,Ankle1,Down,-24.5657799096343,3.55218743325129e-11,-256.700218536071
17,17,ENSMUSG00000059674,Cdh24,Down,-22.9600843372423,8.36927583534439e-12,-254.336020468168
18,18,ENSMUSG00000108269,ENSMUSG00000108269,Down,-23.9691132620362,3.18528317322959e-11,-251.600233347194
19,19,ENSMUSG00000100798,Gm19589,Down,-22.0494405626129,4.75431118161521e-12,-249.663883871544
20,20,ENSMUSG00000024033,Rsph1,Down,-22.7642866087948,2.78968185893255e-11,-240.264418300945
21,21,ENSMUSG00000044177,Wfikkn2,Down,-22.2164168197752,1.61434000744255e-10,-217.54326436318
22,22,ENSMUSG00000106757,ENSMUSG00000106757,Down,-24.8668450769351,2.44056810716314e-09,-214.16592872505
23,23,ENSMUSG00000058287,Gm12253,Down,-21.6137412084771,3.73435161860648e-10,-203.769700668191
24,24,ENSMUSG00000112297,ENSMUSG00000112297,Down,-22.8007186720946,1.17996205277126e-09,-203.567825070211
25,25,ENSMUSG00000117698,BC037704,Down,-23.2908612484346,2.38654044782621e-09,-200.819190546916
26,26,ENSMUSG00000100426,ENSMUSG00000100426,Down,-22.5178301689494,1.80786321957724e-09,-196.869660906549
27,27,ENSMUSG00000021069,Pygl,Down,-20.6851177394065,4.88322860790109e-10,-192.605190848266
28,28,ENSMUSG00000027827,Kcnab1,Down,-21.6683417793811,1.80786321957724e-09,-189.44272456572
29,29,ENSMUSG00000035246,Pcyt1b,Down,-24.1278067176804,5.57352592336329e-08,-175.019972701313
30,30,ENSMUSG00000107136,ENSMUSG00000107136,Down,-23.4013867188192,4.23362253568466e-08,-172.545160735018
31,31,ENSMUSG00000016150,Tenm1,Down,-22.0177891542791,1.88544462786016e-08,-170.078310641494
32,32,ENSMUSG00000023809,Rps6ka2,Down,-22.2015848626402,2.59387963023247e-08,-168.422336873509
33,33,ENSMUSG00000028825,Rhd,Down,-21.7153024310441,1.79440559359878e-08,-168.208456513645
34,34,ENSMUSG00000112669,ENSMUSG00000112669,Down,-22.490136963768,5.82717903916988e-08,-162.705832310376
35,35,ENSMUSG00000084320,Gm14125,Down,-15.6301937506374,5.60517486820117e-11,-160.231537551191
36,36,ENSMUSG00000047343,Mettl21c,Down,-23.5896500658554,1.84087198793039e-07,-158.875736731918
37,37,ENSMUSG00000110751,ENSMUSG00000110751,Down,-23.3177730852891,1.8153422885441e-07,-157.186075479691
38,38,ENSMUSG00000089679,Gm16299,Down,-22.6552620882608,1.2908591702609e-07,-156.07484488636
39,39,ENSMUSG00000030465,Psd3,Down,-24.9198727674879,7.02148355869164e-07,-153.346209295034
40,40,ENSMUSG00000016382,Pls3,Down,-22.5423902443659,2.62358025813136e-07,-148.35385170542
41,41,ENSMUSG00000000303,Cdh1,Down,-21.8033290790354,1.72860497574442e-07,-147.440744704068
42,42,ENSMUSG00000033060,Lmo7,Down,-23.3297690672456,5.68784939187455e-07,-145.695618914698
43,43,ENSMUSG00000085286,Ube4bos3,Down,-21.3654731891542,2.24650591621052e-07,-142.048186832986
44,44,ENSMUSG00000117704,ENSMUSG00000117704,Down,-22.0295904898338,4.68764375922385e-07,-139.426278359068
45,45,ENSMUSG00000083307,AA414768,Down,-21.9746565547842,5.28509122152046e-07,-137.93376579519
46,46,ENSMUSG00000035759,Bbs10,Down,-23.4258528214715,1.37481932336083e-06,-137.316595203367
47,47,ENSMUSG00000021176,Efcab11,Down,-23.3967361011201,1.55994896916115e-06,-135.86226373963
48,48,ENSMUSG00000021874,4933413J09Rik,Down,-23.3566533373724,3.01688484091169e-06,-128.939032947089
49,49,ENSMUSG00000040189,Odad1,Down,-22.7771825207562,2.60575138069946e-06,-127.189313801109
50,50,ENSMUSG00000011148,Adssl1,Down,-22.8705273070278,2.9249001822363e-06,-126.562958355359
51,51,ENSMUSG00000052534,Pbx1,Down,-21.1432342103544,1.04969461800953e-06,-126.414065943781
52,52,ENSMUSG00000028528,Dnajc6,Down,-22.0209821958872,2.96284437409981e-06,-121.73840119934
53,53,ENSMUSG00000026546,Cfap45,Down,-20.5922076706671,1.30530483679145e-06,-121.170481575463
54,54,ENSMUSG00000019992,Mtfr2,Down,-21.2140496183484,2.71304556821775e-06,-118.088917533216
