,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
193,193,ENSMUSG00000105985,ENSMUSG00000105985,Down,-17.8174030554277,0.0553176299376936,-22.3989065641527
194,194,ENSMUSG00000113631,ENSMUSG00000113631,Down,-7.67036610599857,0.0012638388328884,-22.2310857841397
195,195,ENSMUSG00000028782,Adgrb2,Down,-9.76056508606311,0.00541046073285141,-22.1249146432513
196,196,ENSMUSG00000031790,Mmp15,Down,-18.5004789859484,0.0653103078977235,-21.9234055799814
197,197,ENSMUSG00000041351,Rap1gap,Down,-15.1540760864085,0.0446688873257004,-20.4579249065296
198,198,ENSMUSG00000021589,Rhobtb3,Down,-16.3182476904286,0.0961433070166057,-16.5969787594483
199,199,ENSMUSG00000022843,Clcn2,Down,-8.56925678060657,0.0129833648531087,-16.1668690006649
200,200,ENSMUSG00000022225,Cma1,Down,-14.245295799936,0.0787648460618391,-15.7220710199936
201,201,ENSMUSG00000110446,ENSMUSG00000110446,Down,-7.72801884548363,0.0178407385909872,-13.5131146040886
202,202,ENSMUSG00000019122,Ccl9,Down,-8.03844718774796,0.0253563154596327,-12.8286692298017
203,203,ENSMUSG00000046380,Jrk,Down,-9.18423626484381,0.0490244003054759,-12.0275629397037
204,204,ENSMUSG00000061769,Klra6,Down,-10.2142159297878,0.0728306231886183,-11.6205701978
205,205,ENSMUSG00000107741,Gm2011,Down,-7.75720973320385,0.0436703584258111,-10.5483565284282
206,206,ENSMUSG00000022385,Gtse1,Down,-7.55599277004591,0.0434356855102103,-10.2924206374568
207,207,ENSMUSG00000102764,ENSMUSG00000102764,Down,-7.54971349067922,0.0530382666156502,-9.62898520097007
208,208,ENSMUSG00000098021,ENSMUSG00000098021,Down,-8.01044512668726,0.0711347676579647,-9.19533481103039
209,209,ENSMUSG00000097141,ENSMUSG00000097141,Down,-7.22923127896733,0.0677937064398915,-8.44960230450015
210,210,ENSMUSG00000024869,ENSMUSG00000024869,Down,-7.19592076260271,0.0817837698057294,-7.82436120824618
211,211,ENSMUSG00000028082,Sh3d19,Down,-7.50554046187324,0.0938601019057633,-7.71208526923387
212,212,ENSMUSG00000024989,Cep55,Down,-6.72326086354932,0.0767313175209654,-7.49661970806309
213,213,ENSMUSG00000029101,Rgs12,Down,-7.10795395169835,0.0961433070166057,-7.2293645125064
214,214,ENSMUSG00000110825,Gm8959,Down,-3.42550460297948,0.0794356761713101,-3.76800163674347
215,215,ENSMUSG00000023927,Satb1,Down,-1.76239024053838,0.0171542533511394,-3.11172587305689
216,216,ENSMUSG00000038352,Arl5c,Down,-1.35454343516412,0.0419414955620491,-1.86568864606504
217,217,ENSMUSG00000054892,Txk,Down,-1.01955380787908,0.0570935521138156,-1.2677263938983
