Cluster,Score,Type,Gene,Symbol,Network
2,2.5,Clustered,13609,S1pr1,Geneid_SUB1
2,2.5,Seed,12769,Ccr9,Geneid_SUB1
2,2.5,Clustered,80901,Cxcr6,Geneid_SUB1
2,2.5,Clustered,12775,Ccr7,Geneid_SUB1
2,2.5,Clustered,20304,Ccl5,Geneid_SUB1
2,2.5,Clustered,108072,Grm6,Geneid_SUB1
3,2.0,Clustered,20343,Sell,Geneid_SUB1
3,2.0,Clustered,11975,Atp6v0a1,Geneid_SUB1
3,2.0,Clustered,20527,Slc2a3,Geneid_SUB1
3,2.0,Clustered,14131,Fcgr3,Geneid_SUB1
3,2.0,Seed,320832,Sirpb1a,Geneid_SUB1
1,1.75,Clustered,11555,Adrb2,Geneid_SUB1
1,1.75,Clustered,16010,Igfbp4,Geneid_SUB1
1,1.75,Clustered,22094,Tshb,Geneid_SUB1
1,1.75,Clustered,22630,Ywhaq,Geneid_SUB1
1,1.75,Clustered,666348,Apol7e,Geneid_SUB1
1,1.75,Seed,14608,Gpr83,Geneid_SUB1
1,1.75,Clustered,14268,Fn1,Geneid_SUB1
1,1.75,Clustered,228775,Trib3,Geneid_SUB1
1,1.75,Clustered,17999,Nedd4,Geneid_SUB1
1,1.75,Clustered,278679,Apol7b,Geneid_SUB1
1,1.75,Clustered,74646,Spsb1,Geneid_SUB1
1,1.75,Clustered,329152,Hecw2,Geneid_SUB1
1,1.75,Clustered,279029,Stkld1,Geneid_SUB1
1,1.75,Clustered,19055,Ppp3ca,Geneid_SUB1
1,1.75,Clustered,22354,Vipr1,Geneid_SUB1
1,1.75,Clustered,20437,Siah1a,Geneid_SUB1
4,1.25,Clustered,18479,Pak1,Geneid_SUB1
4,1.25,Clustered,223435,Trio,Geneid_SUB1
4,1.25,Clustered,320982,Arl4c,Geneid_SUB1
4,1.25,Clustered,545156,Kalrn,Geneid_SUB1
5,1.0,Clustered,22793,Zyx,Geneid_SUB1
5,1.0,Seed,13497,Drp2,Geneid_SUB1
5,1.0,Clustered,27413,Abcb11,Geneid_SUB1
5,1.0,Clustered,29856,Smtn,Geneid_SUB1
6,1.0,Seed,67071,Rps6ka6,Geneid_SUB1
6,1.0,Clustered,244416,Ppp1r3b,Geneid_SUB1
6,1.0,Clustered,105651,Ppp1r3e,Geneid_SUB1
