,Naive,NPP_C5,SUB,SPP_C5,gene
1,-1.08744443870415,-1.07194747150413,0.710101080486313,0.244530865023319,Slc28a2b_1
2,-1.1188133687288,-1.01900379044467,-0.0730821692243568,0.669094960753715,Ppp3ca
3,-0.954992952732022,-1.13790785549535,-0.189997932588888,0.85752029154397,Plac8_2
4,-1.07204466227451,-0.930682553846416,0.534204728937402,0.888252200590629,Klrd1
5,-1.1099726476046,-1.01020518111555,0.117430086484072,1.16980757945293,Fli1
6,-1.11347310526832,-0.946713523164108,-0.0578520967884426,1.26969609478014,Ifngr1
7,-1.15962053108838,-1.09394131566788,0.402459773126481,0.851471537975451,Ifngr1_1
8,0.00152334744856027,-1.080545576563,-0.437914755289916,1.10769980461323,Cyth1
9,-0.949946718074071,-0.905946096430576,0.125035114624757,0.604337628024924,Pik3r1_4
10,-0.898509256557501,-1.14626070368836,0.217944916400988,0.83460025458755,Pik3r1_5
11,-1.03514844640574,-1.0633395374004,-0.0880003106678408,0.780091038460003,Amigo2
12,-0.970714006346618,-1.00060394992891,0.157158942282653,1.24085669278356,Spag6l
13,1.18461567674964,0.717406480461128,0.259075821273008,-0.792010455635014,Klf7
14,1.00845585974834,0.968430661083576,0.229170899325239,-1.07643303922676,Tnn
15,1.34157740656763,0.80230652559301,0.288417768492362,-1.10127493631011,S1pr1_1
16,1.26465190042178,0.937522978696735,-0.0960967496925725,-0.884894665364193,Lef1
17,1.16238295129879,0.995646226008826,-0.0976473649917783,-0.90987894412372,Ddah1
18,0.389934657452001,1.13245910767478,0.216877037928974,-0.254838569447047,Ddah1_1
19,0.545463421329252,0.994723966695128,0.215536389231351,-0.991584051023224,Atp6v0d2
20,1.16678230676019,0.741864668288835,-0.0392591427696711,-0.801827690842615,Sgip1
21,0.50288736458415,1.18179810310014,0.0688605844782568,-0.787852488085022,Txk_3
22,0.725534970238181,0.727369446048112,-0.142096922904702,-1.45433549288709,Mm2pr
23,1.05771786817305,0.912950481375972,0.235025363218101,-0.731458989584395,ENSMUSG00000090939
24,1.04842437970082,0.955306685873179,0.0299776906341367,-0.978725422682674,Ppp1r3b_2
25,0.826714917551853,0.913389569633705,0.463069949214077,-0.94366081162844,Prag1
26,1.13443187800032,0.942251116389352,0.239140953103177,-0.852483668467947,Prag1_3
27,1.15070052887776,0.959781424395454,0.034975062998226,-0.787435471316836,Prag1_4
28,1.2013956236778,0.9451565883154,-0.324510424871442,-0.402617317778021,Prag1_5
29,1.11819337134887,1.03485835364094,-0.119313343750021,-0.988833211963277,Prag1_6
30,1.32499318573644,0.828358294813542,-0.0406751019378238,-0.648127316885047,Igfbp4_1
31,1.1953363080829,0.788814702999371,-0.0543145431532949,-0.255851133415053,Igfbp4_2
32,1.62953543222479,0.612718724682436,-0.0820733193677697,-0.319136224749486,Igfbp4_3
33,1.21629086754697,0.762015108258739,0.0193489907829787,-0.293719797530783,Igfbp4_4
34,1.2509919267668,0.798070689798223,0.220885027361052,-0.911808501858318,Il7r_3
35,0.762792562985943,1.08701585766332,0.492676930817687,-1.23753861207964,Trio_1
36,0.451792773503813,1.09545119535412,0.565674994355845,-0.661455881977642,Trio_2
37,1.09467831157153,0.80749776437665,-0.226278676292865,-0.981810858767825,Ptk2
38,0.350651256072415,0.813904037889018,1.02175584187761,-1.30778209246194,4930453N24Rik_3
39,0.792934089933458,0.984628842882984,-0.113500426424123,-0.904093590624943,Gm19585
40,0.903359646134544,0.939611344932703,0.224133228396174,-1.14277858013717,Gm19585_1
41,0.990663037280097,1.0385139136248,0.0696256507781411,-0.983872510243989,Gm19585_2
42,1.09998101598091,1.12068003114753,0.0289803877557549,-1.03585574805642,Gm19585_3
43,1.053338767044,0.91768067531742,0.195426737443489,-1.08435416481466,Gm19585_4
44,1.1417178788363,0.932968918264517,0.200492069547476,-0.555881863872814,Gm19585_5
45,1.4035005368899,0.637027838398912,0.363552402168563,-1.08769154694894,Gm19585_6
46,1.08759800526323,0.963565205183604,0.184746068539869,-0.991267362975046,Gm19585_7
47,0.801502788703872,1.00253396218676,0.18421253094668,-0.728509349513098,Zfp516
48,1.07774459638891,0.937827234190362,-0.166078137367443,-1.0224449470528,Dntt
49,-0.739634973471536,-0.72936813208757,-0.628324349669763,1.68013117388441,Fam78a
50,-0.915636390689926,-0.826880407799987,-0.265176975438518,1.47310951835264,Fli1_1
51,-0.0563518996659861,-1.24650643907238,-0.32952212042484,1.38786835266703,Cyth1_1
52,-0.777958841797765,-0.561047434403132,0.51638822047027,1.68948311538353,Pik3r1_6
53,0.400846040627166,0.744839183440177,0.811467777742891,-0.717208954886605,Atp6v0d2_1
54,1.03355821944997,0.543984557014601,0.747646700477663,-0.756696762497056,Atp6v0d2_2
55,1.32694040595147,0.19644942233999,0.779510236529954,-0.328986508580897,Spsb1_2
56,-0.186951720538917,0.674185697036275,1.28426713729485,-0.797567565914784,Emb_1
57,-0.0206331069427642,-0.109772917611706,1.43578726721341,0.556561371393414,Emb_3
58,1.24231236403897,0.602503475093646,0.659802414180278,-0.458788457424334,Il7r_2
59,1.32223278293297,0.667442639876213,0.615727721669735,-0.878434669938767,Il7r_4
