_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,Hits,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-14.08450277,GO:0006954,M1,1,0,GO Biological Processes,19,inflammatory response,Casp1|Casp4|Cd44|Cfh|Cxcr3|Ccr3|Ccr2|Ccr5|Cst7|Ctla2a|Cx3cr1|Cybb|Ezh2|F2r|Fcgr2b|Gata3|Hmox1|Hyal2|Ifng|Ighg2b|Il18|Il18rap|Il18r1|Il2|Itgb1|Itgb2|Xcl1|Cma1|Naip2|Naip5|Notch2|Rora|Ccl4|Ccl5|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Plscr1|Tnfsf4|Tyro3|Nr1h3|Pla2g7|Pik3cg|Ccrl2|Tspan2|Cxcr6|Pik3ap1|Smpdl3b|Metrnl|Hrh4|Nlrc4|Nlrx1|Tafa3,19_GO:0050896 response to stimulus,-14.08450277,3.32947226,9.661527856,20504,739,450,54,12,1.531883372,12362|12363|12505|12628|12766|12771|12772|12774|13011|13024|13051|13058|14056|14062|14130|14462|15368|15587|15978|16016|16173|16174|16182|16183|16412|16414|16963|17228|17948|17951|18129|19883|20303|20304|21898|21938|21943|21946|22038|22164|22174|22259|27226|30955|54199|70747|80901|83490|100340|210029|225192|268973|270151|329731,-10.02864487,0,1,1,1,-14.08450277,5.098119658,
1,-13.83332938,GO:0002694,M1,1,0,GO Biological Processes,19,regulation of leukocyte activation,Prdm1|Cd22|Cd38|Cd44|Cd80|Ccr2|Cst7|Ctla2a|Fcgr2b|Il4i1|Gata3|Hmox1|Id2|Ifng|Ighg2b|Il18|Il2|Itgal|Itgb2|Klrc1|Klrc2|Lag3|Lgals1|Lgals3|Xcl1|Pld2|Prnp|Rora|Ccl5|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Tnfsf9|Plscr1|Tnfsf4|Tyro3|Nr1h3|Zbtb7b|Ikzf3|Klrk1|Tnfsf14|Tbx21|Tnfrsf13c|Slamf7|Iglc2|Igha|Lax1|Cd300lf|Sirpb1a|Tafa3|Ighg3|Ighv6-4,19_GO:0002376 immune system process,-13.83332938,3.330918008,9.572123484,20504,725,450,53,11.77777778,1.51954798,12142|12483|12494|12505|12519|12772|13011|13024|14130|14204|14462|15368|15902|15978|16016|16173|16183|16408|16414|16641|16642|16768|16852|16854|16963|18806|19122|19883|20304|21898|21938|21943|21946|21950|22038|22164|22174|22259|22724|22780|27007|50930|57765|72049|75345|110786|238447|240754|246746|320832|329731|380795|628398,-10.02864487,0,2,0,0,-13.9285835,26.0368254,
1,-11.09686539,GO:0030155,M1,1,0,GO Biological Processes,19,regulation of cell adhesion,Ank3|Cd44|Cd80|Cdk6|Cxcr3|Ccr2|Ccr5|Dscam|Epha3|Il4i1|Gata3|Ifng|Il18|Il2|Itga4|Itgal|Itgb1|Itgb2|L1cam|Lag3|Lgals1|Lgals3|Xcl1|Myo1f|Ppp1r12a|Nrp1|Enpp2|Pld2|Prnp|Ptprj|S100a10|Ccl5|Stx3|Tnfsf11|Tnfsf9|Tnfsf4|Zbtb7b|Myadm|Tnfsf14|Srcin1|Tbx21|Efemp2|Ndnf|Dock5|Zdhhc2|P2ry12|Tnfrsf13c|Lpxn|Lax1|Sirpb1a,19_GO:0022610 biological adhesion,-11.09686539,2.951065055,8.277692794,20504,772,450,50,11.11111111,1.481481481,11735|12505|12519|12571|12766|12772|12774|13508|13837|14204|14462|15978|16173|16183|16401|16408|16412|16414|16728|16768|16852|16854|16963|17916|17931|18186|18606|18806|19122|19271|20194|20304|20908|21943|21950|22164|22724|50918|50930|56013|57765|58859|68169|68813|70546|70839|72049|107321|240754|320832,-7.429505667,0,2,0,0,-13.9285835,26.0368254,
1,-11.01234143,GO:0031347,M1,1,0,GO Biological Processes,19,regulation of defense response,Casp1|Casp4|Cd44|Ccr2|Ccr5|Cst7|Ctla2a|Cx3cr1|Fcgr2b|Gata3|Hyal2|Ifi204|Ifng|Ighg2b|Il18rap|Il2|Klrc1|Klrc2|Lag3|Xcl1|Klrb1c|Cma1|Myo1f|Rora|Ccl5|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Plscr1|Tnfsf4|Tyro3|Nr1h3|Klrk1|Pik3cg|Pik3ap1|Smpdl3b|Rnf216|Metrnl|Nlrc4|Nlrx1|Tafa3|Ifi211,19_GO:0050896 response to stimulus,-11.01234143,3.270903357,8.449780551,20504,599,450,43,9.555555556,1.385838626,12362|12363|12505|12772|12774|13011|13024|13051|14130|14462|15587|15951|15978|16016|16174|16183|16641|16642|16768|16963|17059|17228|17916|19883|20304|21898|21938|21943|21946|22038|22164|22174|22259|27007|30955|83490|100340|108086|210029|268973|270151|329731|381308,-7.429505667,0,1,0,0,-14.08450277,5.098119658,
1,-10.44275356,GO:0042110,M1,1,0,GO Biological Processes,19,T cell activation,Bcl2a1d|Prdm1|Runx2|Cd44|Cd48|Cd80|Cdk6|Ccr2|Ctla2a|Il4i1|Fyn|Gata3|Ifng|Il18|Il18r1|Il2|Itgal|Itgax|Itgb2|Lag3|Lgals1|Lgals3|Xcl1|Prnp|Rora|Ccl5|Sema4a|Tnfrsf1b|Tnfsf11|Tnfsf9|Tnfsf4|Zbtb7b|Tnfsf14|Tbx21|Tnfrsf13c|Stx11|Slamf7|Lax1|Sirpb1a|Wdfy4,19_GO:0002376 immune system process,-10.44275356,3.313777778,8.239530466,20504,550,450,40,8.888888889,1.341538539,12047|12142|12393|12505|12506|12519|12571|12772|13024|14204|14360|14462|15978|16173|16182|16183|16408|16411|16414|16768|16852|16854|16963|19122|19883|20304|20351|21938|21943|21950|22164|22724|50930|57765|72049|74732|75345|240754|320832|545030,-7.1151903,0,2,0,0,-13.9285835,26.0368254,
1,-9.113474576,ko04060,M1,1,0,KEGG Pathway,24,Cytokine-cytokine receptor interaction,Cxcr3|Ccr3|Ccr2|Ccr5|Cx3cr1|Fasl|Ifng|Il10ra|Il13ra1|Il18|Il18rap|Il18r1|Il2|Il2rb|Xcl1|Ccl4|Ccl5|Tnfrsf1b|Tnfsf11|Tnfsf9|Tnfsf4|Xcr1|Tnfsf14|Tnfrsf13c|Cxcr6,,-9.113474576,4.364410387,8.194193942,20504,261,450,25,5.555555556,1.079805906,12766|12771|12772|12774|13051|14103|15978|16154|16164|16173|16174|16182|16183|16185|16963|20303|20304|21938|21943|21950|22164|23832|50930|72049|80901,-5.977796843,0,5,1,1,-9.113474576,4.364410387,
