,gene,Geneid,genename,change,log2FC,padj,Change Metric
160,160,ENSMUSG00000036565,Ttyh3,Down,-2.26890719291131,0.0516558893908935,-2.91981164359327
161,161,ENSMUSG00000028630,Dyrk2,Down,-1.72989839806003,0.0217038507397682,-2.87762233518114
162,162,ENSMUSG00000022587,Ly6e,Down,-0.991614015171717,0.00129443901998567,-2.86370036410065
163,163,ENSMUSG00000038368,Focad,Down,-2.62096874534909,0.0808773369085193,-2.86255171013097
164,164,ENSMUSG00000024785,Rcl1,Down,-2.02784242168495,0.0404575112575252,-2.8247861894019
165,165,ENSMUSG00000025893,Kbtbd3,Down,-1.96887907956397,0.0472077565195779,-2.61070735192257
166,166,ENSMUSG00000028461,Ccdc107,Down,-1.68525186032677,0.0282908179788088,-2.60936729399857
167,167,ENSMUSG00000041058,Wwp1,Down,-1.81641247486898,0.0530650411154631,-2.31627373925095
168,168,ENSMUSG00000009640,Dmap1,Down,-1.79747649532068,0.0518878409459073,-2.3096393819052
169,169,ENSMUSG00000028228,Cpne3,Down,-1.23122895954983,0.014574681055226,-2.26103001909181
170,170,ENSMUSG00000070407,Hs3st3b1,Down,-1.88888203625852,0.0640087175654429,-2.25487347037734
171,171,ENSMUSG00000040451,Sgms1,Down,-1.41030666662388,0.0252646350898473,-2.25294652380447
172,172,ENSMUSG00000032420,Nt5e,Down,-1.87841473742671,0.0636417388693085,-2.24706858695651
173,173,ENSMUSG00000055044,Pdlim1,Down,-1.97502510176718,0.0745955325774344,-2.22642047945488
174,174,ENSMUSG00000038024,Dennd4c,Down,-1.59239694263398,0.0527866216595853,-2.03424908677123
175,175,ENSMUSG00000028229,Rmdn1,Down,-1.74998081546729,0.0702513372287794,-2.01833233162634
176,176,ENSMUSG00000033554,Dph5,Down,-1.64064876001364,0.0589310301427271,-2.01743353776812
177,177,ENSMUSG00000021262,Evl,Down,-1.31108872011255,0.0351455574832837,-1.90649286823282
178,178,ENSMUSG00000104960,Snhg8,Down,-1.36424573733413,0.0401946826366597,-1.9042570320676
179,179,ENSMUSG00000071796,6820431F20Rik,Down,-1.55151539665323,0.0605098737454131,-1.89001533393108
180,180,ENSMUSG00000024218,Taf11,Down,-1.70262848073007,0.0802562219889716,-1.86526574663724
181,181,ENSMUSG00000029916,Agk,Down,-1.37724967410371,0.0514024839677887,-1.77529671951349
182,182,ENSMUSG00000040532,Abhd11,Down,-1.60973385428417,0.0886305817752301,-1.69411030781512
183,183,ENSMUSG00000105388,Rpl36a-ps2,Down,-1.13916130654479,0.0331644908886918,-1.68519169674836
184,184,ENSMUSG00000047180,Neurl3,Down,-1.49899469545516,0.0776455829505024,-1.66370909695545
185,185,ENSMUSG00000111594,ENSMUSG00000111594,Down,-1.65512882040545,0.0990618333530448,-1.66190431983523
186,186,ENSMUSG00000032712,Resf1,Down,-0.941019200816733,0.0198472142119263,-1.60189740234716
187,187,ENSMUSG00000079435,Rpl36a,Down,-1.00134045443311,0.0281818124533779,-1.55210882563392
188,188,ENSMUSG00000050350,Gpr18,Down,-1.18333349991187,0.0546398695474493,-1.49394711997648
189,189,ENSMUSG00000017756,Slc12a7,Down,-1.43055080630055,0.0948402660140356,-1.46346382710539
190,190,ENSMUSG00000045817,Zfp36l2,Down,-0.967260024359143,0.0328553184313693,-1.43482802542262
191,191,ENSMUSG00000007029,Vars,Down,-1.32832330115544,0.0868610160838134,-1.40958360482808
192,192,ENSMUSG00000042354,Gnl3,Down,-1.16843779699763,0.0720180715277613,-1.33500855091219
