,gene,Geneid,genename,change,log2FC,padj,Change Metric
1,1,ENSMUSG00000006567,Atp7b,Up,40.2532219025978,3.90468399281672e-13,499.47864654624
2,2,ENSMUSG00000096001,2610528A11Rik,Up,34.7626087111363,2.13003400859221e-14,475.260949245558
3,3,ENSMUSG00000044641,Pard6b,Up,34.2568107442975,2.14895747240037e-13,433.957474089832
4,4,ENSMUSG00000028463,Car9,Up,36.1869265693532,2.1913241929772e-10,349.540139764671
5,5,ENSMUSG00000106062,ENSMUSG00000106062,Up,33.3043934341559,8.274392332585e-09,269.174896456548
6,6,ENSMUSG00000090406,ENSMUSG00000090406,Up,32.9559063639661,1.67648802030542e-08,256.251930547365
7,7,ENSMUSG00000104744,Gm18980,Up,32.6361183827153,2.06016604747409e-08,250.844396869295
8,8,ENSMUSG00000072721,Klra14-ps,Up,30.0297488297809,4.92730785001999e-09,249.468844226405
9,9,ENSMUSG00000020808,Pimreg,Up,23.1934759048482,1.86958014672823e-11,248.825545005548
10,10,ENSMUSG00000038042,Ptpdc1,Up,25.1700830423637,1.69764698671466e-10,245.915552607483
11,11,ENSMUSG00000047108,Dnajb7,Up,31.7793593819416,5.04196289689513e-08,231.90670842149
12,12,ENSMUSG00000022449,Adamts20,Up,22.6921771554277,3.40596904353036e-10,214.844071382448
13,13,ENSMUSG00000061769,Klra6,Up,20.0709806495009,1.24769616085582e-10,198.780807851842
14,14,ENSMUSG00000022658,Tagln3,Up,29.7951074619256,4.82271460063486e-07,188.207006717799
15,15,ENSMUSG00000027419,Pcsk2,Up,29.1261647271672,9.78681782560759e-07,175.029565449697
16,16,ENSMUSG00000113810,ENSMUSG00000113810,Up,29.0331246216741,1.09487162325278e-06,173.055911041152
17,17,ENSMUSG00000055926,Gm14137,Up,28.964382533356,1.16064596071281e-06,171.912306476959
18,18,ENSMUSG00000102607,ENSMUSG00000102607,Up,28.6623936351122,1.60270883847858e-06,166.102737711916
19,19,ENSMUSG00000076580,Igkv8-27,Up,27.8570335967541,3.80416222257025e-06,150.977906329568
20,20,ENSMUSG00000112642,Gm17849,Up,20.3244849083808,6.21477201313314e-08,146.469920736895
21,21,ENSMUSG00000038233,Gask1a,Up,27.3141338985695,6.34779590883709e-06,141.961852526077
22,22,ENSMUSG00000071636,Rimbp3,Up,27.0160888808142,8.944039090804e-06,136.389814578598
23,23,ENSMUSG00000038044,Cct8l1,Up,26.9375463238533,9.17941711634468e-06,135.689401455761
24,24,ENSMUSG00000113012,ENSMUSG00000113012,Up,22.7438496478861,1.29934211804341e-06,133.876587331402
25,25,ENSMUSG00000028040,Efna4,Up,26.6954640039375,1.15653150598634e-05,131.791302100078
26,26,ENSMUSG00000031958,Ldhd,Up,26.6655376920905,1.26819114549161e-05,130.576212510222
27,27,ENSMUSG00000089997,1810020O05Rik,Up,26.1566430344063,1.91032294002813e-05,123.430405187351
28,28,ENSMUSG00000086391,1700042O10Rik,Up,25.950850601115,2.80304574239537e-05,118.137868950323
29,29,ENSMUSG00000030518,Fam189a1,Up,24.9554689131242,2.61837818038336e-05,114.345150670856
30,30,ENSMUSG00000025777,Gdap1,Up,25.4461482436771,3.72989190047413e-05,112.683273810336
31,31,ENSMUSG00000056596,Trnp1,Up,17.3193108751247,1.10622991168675e-06,103.156493184252
32,32,ENSMUSG00000112381,ENSMUSG00000112381,Up,17.9417157901076,9.41218800286173e-06,90.1806148469931
33,33,ENSMUSG00000011305,Plin5,Up,21.7504992747738,9.34722948011634e-05,87.6396585523737
34,34,ENSMUSG00000031790,Mmp15,Up,22.6006304331818,0.000277417398143676,80.387420876914
35,35,ENSMUSG00000106049,ENSMUSG00000106049,Up,22.1151681900602,0.000329444771147288,77.0098230564689
36,36,ENSMUSG00000104576,ENSMUSG00000104576,Up,22.3078442438301,0.000582683630780603,72.1562208987298
37,37,ENSMUSG00000020702,Ccl1,Up,22.1796776591611,0.000657694277904144,70.5752005927529
38,38,ENSMUSG00000114665,ENSMUSG00000114665,Up,22.0601383505219,0.00080075283477023,68.3092518279546
39,39,ENSMUSG00000114501,ENSMUSG00000114501,Up,21.9249474443484,0.000792138514168796,67.9936222520044
40,40,ENSMUSG00000031886,Ces2e,Up,21.8341568963619,0.000853942836971008,66.9996650297499
41,41,ENSMUSG00000116659,ENSMUSG00000116659,Up,21.1191811082533,0.000685891058698599,66.8157006487335
42,42,ENSMUSG00000022157,Mcpt8,Up,21.5212381139576,0.00109260588259282,63.7359314587554
43,43,ENSMUSG00000108830,ENSMUSG00000108830,Up,21.2228674135578,0.00136302321711403,60.8140575255612
44,44,ENSMUSG00000026480,Ncf2,Up,20.5376586318898,0.00157982101712816,57.5340349075952
45,45,ENSMUSG00000033967,Rnf225,Up,19.6800250950234,0.00446652015289667,46.2486631921545
46,46,ENSMUSG00000051497,Kcnj16,Up,18.3084583715836,0.0114577090319989,35.5349273303879
47,47,ENSMUSG00000017009,Sdc4,Up,16.6439979190513,0.0333967417272473,24.5714659210892
48,48,ENSMUSG00000043932,Klri2,Up,6.72704077554934,0.00263358196149031,17.3520865934945
49,49,ENSMUSG00000038214,Bend3,Up,6.83004112931035,0.0107340097182437,13.4499766416699
50,50,ENSMUSG00000021390,Ogn,Up,8.91443184336027,0.0402470033049869,12.4380076773287
51,51,ENSMUSG00000046731,Kctd11,Up,8.66033093367057,0.0371674985645271,12.3828587144882
52,52,ENSMUSG00000116600,ENSMUSG00000116600,Up,8.84955661439471,0.0452745651508531,11.8950935787043
53,53,ENSMUSG00000037725,Ckap2,Up,5.76224571273661,0.0126723311439006,10.9318069241065
54,54,ENSMUSG00000027699,Ect2,Up,5.08749755942465,0.00894286993990704,10.4218561970798
55,55,ENSMUSG00000086862,Gm13546,Up,8.02663833103985,0.052136545213688,10.2970351925474
56,56,ENSMUSG00000031785,Adgrg1,Up,8.37855727628984,0.0610900885247018,10.1718135688321
57,57,ENSMUSG00000083774,ENSMUSG00000083774,Up,5.150742697017,0.0116738219275476,9.95528819395872
58,58,ENSMUSG00000038173,Enpp6,Up,8.34572108761908,0.0705666679010012,9.6092665076354
59,59,ENSMUSG00000052387,Trpm3,Up,9.18755925118017,0.0923341742999115,9.50579361169811
60,60,ENSMUSG00000025780,Itih5,Up,8.11391236399801,0.068989049492161,9.42203600553328
61,61,ENSMUSG00000113687,ENSMUSG00000113687,Up,7.34845259080464,0.0543494193428302,9.29436025119511
62,62,ENSMUSG00000118379,Gm41790,Up,7.84422787750946,0.0700429344196551,9.05722529231513
63,63,ENSMUSG00000030219,Erp27,Up,5.42374489456205,0.0237674914576927,8.8082520331497
64,64,ENSMUSG00000107168,ENSMUSG00000107168,Up,7.36898527962861,0.0700429344196551,8.5084932380293
65,65,ENSMUSG00000034173,Zbed5,Up,4.70410134789179,0.0157088916835732,8.48551417246542
66,66,ENSMUSG00000045312,Lhfpl2,Up,6.5526684518603,0.0570347898036814,8.1506031939992
67,67,ENSMUSG00000109160,4930598N05Rik,Up,6.83333655464068,0.0650331214007865,8.11025072748896
68,68,ENSMUSG00000000489,Pdgfb,Up,7.61042290398611,0.0893505273886815,7.98259450003967
69,69,ENSMUSG00000023132,Gzma,Up,4.28835989222442,0.0148003229451333,7.846535634453
70,70,ENSMUSG00000037129,Tmprss13,Up,3.52094196443879,0.00613489872497654,7.78900176657488
71,71,ENSMUSG00000086554,9530034E10Rik,Up,7.59835486942756,0.0945469535948044,7.78339350269312
72,72,ENSMUSG00000071158,Klrh1,Up,7.19244487265224,0.0903278079800522,7.51019650583361
73,73,ENSMUSG00000085687,ENSMUSG00000085687,Up,4.94056565738128,0.0316610821096864,7.40825096362529
74,74,ENSMUSG00000027669,Gnb4,Up,4.02540781905493,0.0145567958021579,7.39440933238808
75,75,ENSMUSG00000057160,ENSMUSG00000057160,Up,5.80625422840984,0.0543631351179808,7.34314362638294
76,76,ENSMUSG00000003282,Plag1,Up,6.99162748478165,0.0893505273886815,7.33353820286542
77,77,ENSMUSG00000025161,Slc16a3,Up,6.70306682586905,0.0814886418982242,7.29898904066154
78,78,ENSMUSG00000105418,ENSMUSG00000105418,Up,6.74851131989367,0.0910510593093974,7.02327693908848
79,79,ENSMUSG00000072066,6720489N17Rik,Up,6.04296858024519,0.068989049492161,7.01721499926597
80,80,ENSMUSG00000103739,ENSMUSG00000103739,Up,5.95509290214497,0.0702513372287794,6.86827903254943
81,81,ENSMUSG00000044156,Hepacam2,Up,5.14410575981281,0.0521497654427597,6.59858952632644
82,82,ENSMUSG00000054717,Hmgb2,Up,1.39872438865889,2.36258853536282e-05,6.47135491231881
83,83,ENSMUSG00000117628,ENSMUSG00000117628,Up,5.02517727047264,0.0711829004503256,5.76701564797735
84,84,ENSMUSG00000030793,Pycard,Up,1.14418902419104,1.38796070638718e-05,5.55803872428496
85,85,ENSMUSG00000114023,ENSMUSG00000114023,Up,3.33892252212145,0.0222069639016006,5.52094449542319
