,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
99,99,ENSMUSG00000056214,Pard6g,Down,-16.5932309002495,9.6520316083405e-06,-83.2213793752863
100,100,ENSMUSG00000047293,Gpr15,Down,-9.73835794635166,4.53979338713873e-08,-71.5084109630913
101,101,ENSMUSG00000097271,ENSMUSG00000097271,Down,-19.5381017059598,0.00129974113369708,-56.3897581381869
102,102,ENSMUSG00000020150,Gamt,Down,-19.3776111182328,0.00457228918209294,-45.3410194185186
103,103,ENSMUSG00000086404,Gm6787,Down,-17.4197754137676,0.00340562813702518,-42.9885701009223
104,104,ENSMUSG00000045591,Olig3,Down,-18.9395899428822,0.00613729895526698,-41.8948032836862
105,105,ENSMUSG00000105941,ENSMUSG00000105941,Down,-7.54444289270126,7.3622099830986e-05,-31.1811206101587
106,106,ENSMUSG00000029608,Rph3a,Down,-8.87294223102742,0.00107928959398161,-26.3247952238339
107,107,ENSMUSG00000049130,C5ar1,Down,-16.1251583931574,0.027775147078275,-25.0962875907118
108,108,ENSMUSG00000075590,Nrbp2,Down,-9.63190036172664,0.00293087050053335,-24.3976360784958
109,109,ENSMUSG00000049321,Zfp2,Down,-14.5699382006367,0.0219359731814998,-24.1692413570571
110,110,ENSMUSG00000036256,Igfbp7,Down,-8.50644743029269,0.00155711802019016,-23.8833693000273
111,111,ENSMUSG00000115771,ENSMUSG00000115771,Down,-8.24365417635067,0.00127661361426716,-23.8566449231278
112,112,ENSMUSG00000097443,ENSMUSG00000097443,Down,-8.57552027517271,0.00198043925063578,-23.1816763501738
113,113,ENSMUSG00000032323,Cyp11a1,Down,-15.4496397835837,0.0434630172764328,-21.0405573984325
114,114,ENSMUSG00000055633,Zfp580,Down,-7.26370295008275,0.00201118879048466,-19.586917562764
115,115,ENSMUSG00000103076,ENSMUSG00000103076,Down,-6.77861602185467,0.00285092447434157,-17.2516746265217
116,116,ENSMUSG00000103403,ENSMUSG00000103403,Down,-15.3158643071765,0.0788164975198877,-16.8992622912685
117,117,ENSMUSG00000086395,ENSMUSG00000086395,Down,-7.07113462421362,0.00972776492154561,-14.2270304652876
118,118,ENSMUSG00000085941,ENSMUSG00000085941,Down,-8.19427988319943,0.0353302153449857,-11.8968956937964
119,119,ENSMUSG00000113052,ENSMUSG00000113052,Down,-6.77173453715216,0.0180422005141342,-11.8079445811484
120,120,ENSMUSG00000107254,ENSMUSG00000107254,Down,-7.39748638676508,0.0414428811979737,-10.2273952414319
121,121,ENSMUSG00000109610,Gm7432,Down,-5.08172032971079,0.0116034036871455,-9.83523571014805
122,122,ENSMUSG00000015476,Prrt1,Down,-3.8547426489234,0.00339195546479619,-9.5194791632584
123,123,ENSMUSG00000118809,Gm25873,Down,-5.8141262463808,0.0309210788822592,-8.77785013055206
124,124,ENSMUSG00000030029,Lrig1,Down,-3.77835596113619,0.00597425797359168,-8.40199071071436
125,125,ENSMUSG00000114749,ENSMUSG00000114749,Down,-6.25177463810363,0.0547154127692354,-7.88905389953488
126,126,ENSMUSG00000096551,Trav10,Down,-6.43249582668795,0.0740386345500065,-7.27220411924722
127,127,ENSMUSG00000076431,Sox4,Down,-6.24408930726366,0.0718294000783448,-7.14135095891656
128,128,ENSMUSG00000015314,Slamf6,Down,-1.53396775137369,3.36725222992579e-05,-6.86101491491812
129,129,ENSMUSG00000081528,ENSMUSG00000081528,Down,-5.114383670899,0.0512254224359077,-6.60018603758702
130,130,ENSMUSG00000106620,Trav7-5,Down,-5.92093891128923,0.0770763788199103,-6.59047097096864
131,131,ENSMUSG00000000782,Tcf7,Down,-1.23646062782567,1.95118272464303e-05,-5.82336116329426
132,132,ENSMUSG00000037940,Inpp4b,Down,-1.38948367552605,0.000278828825279243,-4.93914528087523
133,133,ENSMUSG00000005686,Ampd3,Down,-4.03701765091491,0.0599773597957944,-4.93328666112542
134,134,ENSMUSG00000096173,ENSMUSG00000096173,Down,-2.37799994970169,0.0156505753651486,-4.29340683622049
135,135,ENSMUSG00000071068,Treml2,Down,-3.95633421166022,0.0830068524237379,-4.27634647452819
136,136,ENSMUSG00000102428,Pcdhga12,Down,-3.96827948002102,0.0867084998690717,-4.21406807357481
137,137,ENSMUSG00000079071,Slc28a2b,Down,-3.56610660263769,0.0722006938311636,-4.07056315332076
138,138,ENSMUSG00000028362,Tnfsf8,Down,-2.38560087380007,0.0236667395429794,-3.87865677893999
139,139,ENSMUSG00000026989,Dapl1,Down,-1.48804323272988,0.002943708192888,-3.76639402879422
140,140,ENSMUSG00000055675,Kbtbd11,Down,-1.69942607631222,0.0091766752548471,-3.46226561957104
141,141,ENSMUSG00000035764,Fbxo45,Down,-3.35727945984242,0.0978169071815747,-3.38946258587124
142,142,ENSMUSG00000118790,Gm25939,Down,-1.91879417299193,0.0195580667238076,-3.2785938616782
143,143,ENSMUSG00000021767,Kat6b,Down,-1.88395851547648,0.0229849320429541,-3.08697299112946
144,144,ENSMUSG00000055923,Aasdh,Down,-2.87097658900729,0.0983929154071513,-2.89117727117504
145,145,ENSMUSG00000039485,Tspyl4,Down,-2.70898935411684,0.0864784067703177,-2.87990577780853
146,146,ENSMUSG00000003882,Il7r,Down,-1.13469954905266,0.00342029610296076,-2.79809680128962
147,147,ENSMUSG00000030844,Rgs10,Down,-2.43899502723571,0.0713975836487467,-2.7958602091479
