Network,Annotation
Geneid,mmu04510|Focal adhesion|-10.4;R-MMU-9006934|Signaling by Receptor Tyrosine Kinases|-9.9;GO:0030155|regulation of cell adhesion|-9.7
Geneid_MCODE_ALL,GO:0007229|integrin-mediated signaling pathway|-6.6;GO:0098609|cell-cell adhesion|-4.4;GO:0008285|negative regulation of cell population proliferation|-3.7
Geneid_SUB1_MCODE_1,GO:0007229|integrin-mediated signaling pathway|-6.6;GO:0098609|cell-cell adhesion|-4.4;GO:0008285|negative regulation of cell population proliferation|-3.7
