_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,CHILD_GO_Geneid
1,-2.644000866062812,GO:0032502,developmental process,M1,1,GO:0007423 sensory organ development
1,-2.6104103188686416,GO:0051179,localization,M1,1,GO:0006909 phagocytosis
